time_s,switch_V,bus_V,highVgs_V,lowVgs_V,highVds_V,lowVds_V,highCurrent_A,lowCurrent_A,highGateCurrent_A,lowGateCurrent_A,loadCurrent_A,feedCurrent_A,highChannelCurrent_A,lowChannelCurrent_A,highDiodeCurrent_A,lowDiodeCurrent_A
2.99875e-07,23.847713454124,23.850951786138,11.999996700183,6.10317210287977e-15,0.00323833201396795,23.847713454124,2.98096427723845,9.54822723109316e-08,1.31992678093951e-07,-2.44126884115191e-16,2.98096418175618,2.98096427724084,2.98096427722422,9.14171697135739e-11,-0,9.08561682102073e-24
3e-07,23.847713454124,23.850951786138,11.999996700183,3.13957151853179e-15,0.00323833201396795,23.847713454124,2.98096427723845,9.54822731991101e-08,1.31992678127221e-07,-1.25582860741272e-16,2.98096418175618,2.98096427724084,2.98096427724116,9.14171697135938e-11,-0,3.85477045488388e-24
3.00125e-07,23.847713454124,23.850951786138,11.999996700183,5.66486863279798e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822736431993e-08,1.31992678069049e-07,-2.26594745311919e-16,2.98096418175618,2.98096427724084,2.98096427722422,9.14171697135871e-11,-0,-2.89340509154446e-24
3.0025e-07,23.847713454124,23.850951786138,11.999996700183,3.0274141863074e-15,0.0032383320139644,23.847713454124,2.98096427723845,9.54822727550209e-08,1.31992678054594e-07,-1.21096567452296e-16,2.98096418175618,2.98096427724084,2.98096427724115,9.14171697136136e-11,-0,1.0698295791792e-23
3.00375e-07,23.847713454124,23.850951786138,11.999996700183,6.17714233404301e-15,0.00323833201396795,23.847713454124,2.98096427723845,9.54822731991101e-08,1.31992678045961e-07,-2.4708569336172e-16,2.98096418175618,2.98096427724084,2.98096427722423,9.14171697136004e-11,-0,2.18412168721673e-24
3.005e-07,23.847713454124,23.850951786138,11.999996700183,2.71035817857422e-15,0.0032383320139644,23.847713454124,2.98096427723846,9.54822736431993e-08,1.31992678153418e-07,-1.08414327142969e-16,2.98096418175618,2.98096427724084,2.98096427724111,9.14171697135871e-11,-0,5.04126925677682e-24
3.00625e-07,23.847713454124,23.850951786138,11.999996700183,6.150533560582e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822736431993e-08,1.31992678078151e-07,-2.4602134242328e-16,2.98096418175618,2.98096427724084,2.98096427722427,9.14171697136004e-11,-0,-4.39050766547291e-24
3.0075e-07,23.847713454124,23.850951786138,11.999996700183,2.45021193171979e-15,0.0032383320139644,23.847713454124,2.98096427723845,9.54822727550209e-08,1.31992678062535e-07,-9.80084772687915e-17,2.98096418175618,2.98096427724084,2.98096427724112,9.14171697135871e-11,-0,1.23695429122298e-23
3.00875e-07,23.847713454124,23.850951786138,11.999996700183,6.28438950753823e-15,0.00323833201396795,23.847713454124,2.98096427723845,9.54822731991101e-08,1.31992678070184e-07,-2.51375580301529e-16,2.98096418175618,2.98096427724084,2.98096427722425,9.14171697135739e-11,-0,-4.84781608300704e-24
3.01e-07,23.847713454124,23.850951786138,11.999996700183,2.26464979875204e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822736431993e-08,1.31992678169976e-07,-9.05859919500817e-17,2.98096418175618,2.98096427724084,2.98096427724113,9.14171697135805e-11,-1.19019508148323e-40,-6.97629788722496e-24
3.01125e-07,23.847713454124,23.850951786138,11.9999967001831,5.64690713229132e-15,0.00323833201397505,23.847713454124,2.98096427723846,9.54822740872885e-08,1.3199267804037e-07,-2.25876285291653e-16,2.98096418175618,2.98096427724084,2.98096427722423,9.14171697136004e-11,-6.41540513789951e-41,-3.0941760175545e-24
3.0125e-07,23.847713454124,23.850951786138,11.999996700183,2.24474967753989e-15,0.0032383320139715,23.847713454124,2.98096427723846,9.54822740872885e-08,1.31992678041197e-07,-8.97899871015956e-17,2.98096418175618,2.98096427724084,2.98096427724114,9.14171697135805e-11,-0,-4.84305665563614e-25
3.01375e-07,23.847713454124,23.850951786138,11.999996700183,5.51572767766536e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822745313777e-08,1.31992678065853e-07,-2.20629107106614e-16,2.98096418175618,2.98096427724084,2.98096427722423,9.14171697135805e-11,-6.41787199736394e-41,-2.84563781007341e-24
