time_s,switch_V,bus_V,highVgs_V,lowVgs_V,highVds_V,lowVds_V,highCurrent_A,lowCurrent_A,highGateCurrent_A,lowGateCurrent_A,loadCurrent_A,feedCurrent_A
1.26178500000001e-06,23.8477134541549,23.8509517861028,11.9999966975036,5.35312827365758e-12,0.0032383319718079,23.8477134541787,2.9809642776998,9.56302854682178e-08,1.32063129321125e-07,-2.14125130951442e-13,2.98096418176837,2.98096427745533
1.26191000000001e-06,23.8477134541716,23.8509517861028,11.9999966975044,9.62892205538123e-13,0.00323833195509238,23.8477134541955,2.98096427770029,9.56378691796544e-08,1.3206497539997e-07,-3.85156882224493e-14,2.98096418176837,2.98096427745534
1.26203500000001e-06,23.8477134541726,23.8509517861028,11.9999966974867,-4.96848435591646e-12,0.00323833195412604,23.8477134541964,2.98096427770187,9.56349945901991e-08,1.32062948132727e-07,1.98739374241428e-13,2.98096418176837,2.98096427745536
1.26216000000001e-06,23.8477134541648,23.8509517861028,11.9999966975081,2.4265559196722e-12,0.0032383319618603,23.8477134541886,2.98096427770817,9.56411172481353e-08,1.32064945645993e-07,-9.70622367892176e-14,2.98096418176837,2.98096427745537
1.26228500000001e-06,23.847713454167,23.8509517861028,11.9999966975069,4.05108014887408e-12,0.00323833195962564,23.8477134541908,2.98096427770865,9.56458734435728e-08,1.32065093971789e-07,-1.62043205958852e-13,2.98096418176837,2.98096427745538
1.26241000000001e-06,23.847713454177,23.8509517861027,11.9999966974802,-4.57350790431039e-12,0.00323833194956435,23.8477134542009,2.98096427771022,9.56440042720885e-08,1.32063349589373e-07,1.82940316176806e-13,2.98096418176837,2.9809642774554
1.26253500000001e-06,23.8477134541631,23.8509517861028,11.9999966975097,2.87730378009345e-12,0.00323833196353007,23.8477134541869,2.98096427770706,9.56495336268404e-08,1.32065093083611e-07,-1.150921512065e-13,2.98096418176837,2.98096427745541
1.26266000000001e-06,23.8477134541556,23.8509517861027,11.9999966975202,-1.42265878772647e-12,0.00323833197090906,23.8477134541794,2.98096427771917,9.56523842354784e-08,1.32067188740592e-07,5.69063515104246e-14,2.98096418176837,2.98096427745543
1.26278500000001e-06,23.8477134543366,23.8509517861029,11.9999966974871,1.30252276321945e-11,0.00323833179015764,23.8477134543605,2.98096427769021,9.56672572272055e-08,1.32063121771608e-07,-5.21009105300284e-13,2.98096418176837,2.98096427745544
1.26291000000001e-06,23.847713454105,23.8509517861027,11.9999966974718,-2.3071246555981e-11,0.0032383320214926,23.8477134541289,2.98096427771723,9.56481662761632e-08,1.32064934099674e-07,9.22849862261387e-13,2.98096418176837,2.98096427745546
1.26303500000001e-06,23.8477134541909,23.8509517861027,11.9999966974872,2.04670215313732e-11,0.00323833193572653,23.8477134542147,2.98096427770971,9.56423464870682e-08,1.32062347280026e-07,-8.18680861274575e-13,2.98096418176837,2.98096427745547
1.26316000000001e-06,23.8477134541887,23.8509517861027,11.9999966974747,-1.73897379674566e-11,0.00323833193786882,23.8477134542125,2.98096427771709,9.5645469766481e-08,1.32063342483946e-07,6.95589518714958e-13,2.98096418176837,2.98096427745549
1.26328500000001e-06,23.8477134542051,23.8509517861027,11.9999966975008,1.42670600876661e-11,0.00323833192142331,23.8477134542289,2.98096427771756,9.56456451817189e-08,1.32063593394349e-07,-5.7068240352034e-13,2.98096418176837,2.9809642774555
1.26341000000001e-06,23.8477134542088,23.8509517861028,11.999996697481,-8.49205741541919e-12,0.0032383319178102,23.8477134542326,2.98096427770967,9.56477754776586e-08,1.32063187052722e-07,3.3968229662492e-13,2.98096418176837,2.98096427745552
1.26353500000001e-06,23.8477134541844,23.8509517861027,11.9999966974979,6.47262213364164e-12,0.0032383319421676,23.8477134542082,2.98096427771814,9.5646026210261e-08,1.32063762148249e-07,-2.58904885351879e-13,2.98096418176837,2.98096427745553
1.26366000000001e-06,23.8477134541812,23.8509517861027,11.999996697509,-6.54951843514079e-12,0.00323833194535084,23.847713454205,2.98096427771861,9.56534718099533e-08,1.32065006930304e-07,2.61980737411919e-13,2.98096418176837,2.98096427745555
1.26378500000001e-06,23.8477134542211,23.8509517861027,11.9999966974688,1.02057381751696e-11,0.00323833190546097,23.8477134542449,2.98096427771544,9.56464485390995e-08,1.32062338842331e-07,-4.08229527016583e-13,2.98096418176837,2.98096427745556
1.26391000000001e-06,23.8477134541929,23.8509517861027,11.9999966974915,-1.05312738006541e-11,0.0032383319336553,23.8477134542168,2.98096427771337,9.56477346214513e-08,1.32062964119939e-07,4.21250952036272e-13,2.98096418176837,2.98096427745557
1.26403500000001e-06,23.847713454221,23.8509517861028,11.9999966974734,1.21753344335505e-11,0.00323833190564926,23.8477134542448,2.98096427770658,9.56421173370359e-08,1.32062391244858e-07,-4.87013377353709e-13,2.98096418176837,2.98096427745559
1.26416000000001e-06,23.8477134543162,23.850951786103,11.9999966975219,-8.336264720219e-13,0.00323833181062838,23.8477134543401,2.98096427768673,9.56640802129982e-08,1.32063918023562e-07,3.33450588816763e-14,2.98096418176837,2.9809642774556
1.26428500000001e-06,23.8477134541059,23.8509517861027,11.9999966974676,-1.01121834739991e-11,0.00323833202066837,23.8477134541297,2.98096427771738,9.56442032240545e-08,1.3206408766564e-07,4.0448733896967e-13,2.98096418176837,2.98096427745562
1.26441000000001e-06,23.8477134542143,23.8509517861028,11.9999966975109,1.37486562052382e-11,0.00323833191233547,23.8477134542381,2.98096427770877,9.56385886041744e-08,1.32063354918444e-07,-5.49946248222726e-13,2.98096418176837,2.98096427745563
1.26453500000001e-06,23.8477134543512,23.850951786103,11.9999966975211,-1.35508420521204e-12,0.00323833177562349,23.8477134543751,2.9809642776831,9.5664577148824e-08,1.32066267255482e-07,5.42033682097823e-14,2.98096418176837,2.98096427745564
1.26466000000001e-06,23.8477134541044,23.8509517861028,11.9999966974924,-6.15521787823157e-12,0.00323833202224577,23.8477134541283,2.9809642777054,9.56419379249951e-08,1.32065909319579e-07,2.46208715135172e-13,2.98096418176837,2.98096427745566
1.26478500000001e-06,23.8477134543051,23.8509517861031,11.9999966975073,1.03565062308484e-11,0.00323833182189404,23.8477134543289,2.98096427767538,9.56573744659295e-08,1.32063769253676e-07,-4.14260249243879e-13,2.98096418176837,2.98096427745567
1.26491000000001e-06,23.8477134541022,23.8509517861028,11.9999966974802,-9.88019184695988e-12,0.0032383320244449,23.8477134541261,2.98096427770241,9.56382821826196e-08,1.32066543923059e-07,3.9520767388788e-13,2.98096418176837,2.98096427745568
1.26503500000001e-06,23.8477134541434,23.8509517861029,11.9999966975137,2.67868349039854e-12,0.00323833198330092,23.8477134541673,2.98096427769963,9.56361603243749e-08,1.32064406965782e-07,-1.07147339618513e-13,2.98096418176837,2.9809642774557
1.26516000000001e-06,23.8477134543437,23.8509517861031,11.9999966974813,1.13713652842336e-11,0.00323833178324051,23.8477134543676,2.98096427767289,9.56542050012388e-08,1.32064487345929e-07,-4.54854611380259e-13,2.98096418176837,2.98096427745571
1.26528500000001e-06,23.8477134540708,23.8509517861028,11.9999966975154,-1.57876092073496e-11,0.00323833205588642,23.8477134540946,2.98096427770465,9.56379704319943e-08,1.32067334401853e-07,6.31504368309142e-13,2.98096418176837,2.98096427745572
1.26541000000001e-06,23.8477134541853,23.8509517861028,11.9999966974749,7.45981480088146e-12,0.00323833194142154,23.8477134542091,2.98096427770077,9.56320791445364e-08,1.32063455726694e-07,-2.9839259204242e-13,2.98096418176837,2.98096427745574
1.26553500000001e-06,23.8477134541919,23.8509517861028,11.9999966974882,-1.89934311177894e-12,0.00323833193473178,23.8477134542158,2.98096427770235,9.56343138014404e-08,1.32064297275747e-07,7.5973724472981e-14,2.98096418176837,2.98096427745575
1.26566000000002e-06,23.8477134543655,23.8509517861031,11.9999966975072,9.5214852853201e-12,0.00323833176150146,23.8477134543893,2.98096427767088,9.56509809135753e-08,1.32064783109342e-07,-3.80859411421945e-13,2.98096418176837,2.98096427745576
1.26578500000002e-06,23.8477134540938,23.8509517861029,11.9999966974645,-1.59605548278799e-11,0.0032383320328897,23.8477134541177,2.98096427769901,9.56310866051524e-08,1.32064129410026e-07,6.38422193130517e-13,2.98096418176837,2.98096427745578
1.26591000000002e-06,23.847713454186,23.850951786103,11.9999966974882,1.2759433115141e-11,0.00323833194080692,23.8477134542099,2.98096427768679,9.56250381101142e-08,1.32062544899725e-07,-5.1037732461789e-13,2.98096418176837,2.98096427745579
1.26603500000002e-06,23.8477134541787,23.8509517861029,11.9999966974824,-9.69555627681602e-12,0.00323833194812906,23.8477134542025,2.98096427769057,9.56266719143173e-08,1.32063976199248e-07,3.87822251081949e-13,2.98096418176837,2.9809642774558
1.26616000000002e-06,23.8477134541793,23.850951786103,11.9999966975,5.53501180178321e-12,0.00323833194751444,23.8477134542032,2.98096427768744,9.56250385542035e-08,1.32063850966091e-07,-2.21400472076642e-13,2.98096418176837,2.98096427745582
1.26628500000002e-06,23.8477134541775,23.8509517861029,11.9999966974841,-8.26526084900196e-12,0.00323833194924461,23.8477134542014,2.98096427769485,9.56247312444702e-08,1.32063699087581e-07,3.30610433968013e-13,2.98096418176837,2.98096427745583
1.26641000000002e-06,23.8477134541987,23.850951786103,11.999996697495,9.25817579782732e-12,0.00323833192812728,23.8477134542226,2.9809642776859,9.56251211547965e-08,1.32063542768179e-07,-3.70327031921981e-13,2.98096418176837,2.98096427745584
