rowScope,modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,runCount,forecastCount,nonfiniteForecastCount,nonfiniteForecastFraction,oneStepPairCount,oneStepNonfiniteCount,oneStepLiftedRelativeError,oneStepInnovationRMSE,oneStepInnovationNormalizedRMSE,constantCoordinateRMSE,quadraticConsistencyRMSE,quadraticConsistencyRelativeError,consistencyNonfiniteCount
run,Linear hybrid,nominal,nominal_seed_130107,7,130107,50,0.05,1,128,0,0,128,0,0.0366857088430252,0.000495159138377808,0.0428138930624204,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130107,7,130107,100,0.1,1,128,0,0,128,0,0.0366857088430252,0.000495159138377808,0.0428138930624204,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130107,7,130107,250,0.25,1,128,0,0,128,0,0.0366857088430252,0.000495159138377808,0.0428138930624204,0,0,0,0
run,EDMD hybrid,nominal,nominal_seed_130107,7,130107,1,0.001,1,128,0,0,128,0,0.0499923429567137,0.000494251306624486,0.0427353974665746,0,0.0228417470233957,0.0463885555551569,0
run,EDMD hybrid,nominal,nominal_seed_130107,7,130107,20,0.02,1,128,0,0,128,0,0.0499923429567137,0.000494251306624486,0.0427353974665746,0,0.142410318618948,0.287825428340207,0
run,EDMD hybrid,nominal,nominal_seed_130107,7,130107,50,0.05,1,128,0,0,128,0,0.0499923429567137,0.000494251306624486,0.0427353974665746,0,0.300391857575771,0.55065130116727,0
run,EDMD hybrid,nominal,nominal_seed_130107,7,130107,100,0.1,1,128,0,0,128,0,0.0499923429567137,0.000494251306624486,0.0427353974665746,0,0.484245220972229,0.829294769622924,0
run,EDMD hybrid,nominal,nominal_seed_130107,7,130107,250,0.25,1,128,0,0,128,0,0.0499923429567137,0.000494251306624486,0.0427353974665746,0,0.756349087788732,1.12831934132107,0
run,Linear hybrid,nominal,nominal_seed_130108,8,130108,1,0.001,1,128,0,0,128,0,0.0460320522211109,0.000531038423714382,0.0459161924375034,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130108,8,130108,20,0.02,1,128,0,0,128,0,0.0460320522211109,0.000531038423714382,0.0459161924375034,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130108,8,130108,50,0.05,1,128,0,0,128,0,0.0460320522211109,0.000531038423714382,0.0459161924375034,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130108,8,130108,100,0.1,1,128,0,0,128,0,0.0460320522211109,0.000531038423714382,0.0459161924375034,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130108,8,130108,250,0.25,1,128,0,0,128,0,0.0460320522211109,0.000531038423714382,0.0459161924375034,0,0,0,0
