Case,Comparison,Signal,MaxAbsoluteDifference,ReferencePeakAbsolute,Limit,Pass,PeakAbsoluteDifference,RMSDifference
holdout_bus18,native_to_original_spice_0.125ns,highVds_V,0.00205580394981761,18.874278177711,0.18874278177711,1,0.000130230739927129,1.71041378768178e-05
holdout_bus18,native_to_original_spice_0.125ns,lowVds_V,0.00205126675585987,18.2430600666705,0.182430600666705,1,6.75509955172515e-05,1.70930281137064e-05
holdout_bus18,native_to_original_spice_0.125ns,highCurrent_A,0.00104945167948767,5.98685008741911,0.0598685008741911,1,0.000311856047352954,1.78271796595585e-05
holdout_bus18,native_to_original_spice_0.125ns,lowCurrent_A,0.00104945284439273,3.76412064247261,0.0376412064247261,1,0.00031161627757692,1.78271928701736e-05
holdout_bus18,native_to_original_spice_0.125ns,highGateCurrent_A,3.20304219426637e-05,0.398132601794017,0.01,1,1.54810579530151e-05,3.23407391869103e-07
holdout_bus18,native_to_original_spice_0.125ns,lowGateCurrent_A,2.95519573587401e-05,0.42302248157567,0.01,1,1.92284923375419e-05,3.21447955050368e-07
holdout_bus18,native_to_original_spice_0.125ns,loadCurrent_A,1.30888366811632e-09,2.23572314672514,0.0223572314672514,1,8.64774918341027e-12,8.53838243527834e-11
holdout_bus18,native_to_original_spice_0.125ns,feedCurrent_A,1.30899923861394e-06,2.23572401468391,0.0223572401468391,1,7.18607395810977e-11,4.52589678621347e-08
holdout_load4ohm,native_0.5_to_0.125ns,switch_V,0.0773612718864705,24.1809362445345,0.241809362445345,1,0.000640856222471342,0.0012302762733327
holdout_load4ohm,native_0.5_to_0.125ns,bus_V,0.000654761640102919,24.0349365880841,0.240349365880841,1,2.21497487018496e-09,2.35878774124444e-05
holdout_load4ohm,native_0.5_to_0.125ns,highVgs_V,0.0052301546881548,11.9999967003629,0.119999967003629,1,9.9475983006414e-14,0.000109974580442962
holdout_load4ohm,native_0.5_to_0.125ns,lowVgs_V,0.0163951339928263,11.99998702749,0.1199998702749,1,1.28983224101376e-09,0.000334525821359975
holdout_load4ohm,native_0.5_to_0.125ns,highVds_V,0.0770427499934279,25.430569080959,0.25430569080959,1,0.000674374393184962,0.00122917344571419
holdout_load4ohm,native_0.5_to_0.125ns,lowVds_V,0.0773612718864705,24.1809362445345,0.241809362445345,1,0.000640856222471342,0.0012302762733327
holdout_load4ohm,native_0.5_to_0.125ns,highCurrent_A,0.066082782151236,12.0572811580484,0.120572811580484,1,0.00233568812222629,0.00215146066540721
holdout_load4ohm,native_0.5_to_0.125ns,lowCurrent_A,0.0660828264650846,6.17413488531749,0.0617413488531749,0,0.00519305051267516,0.00215146161711408
holdout_load4ohm,native_0.5_to_0.125ns,highGateCurrent_A,0.000209206187526234,0.398148465184638,0.01,1,0.000183234695162848,4.39898321772008e-06
