Fixture,Mechanism,Step_s,Duration_s,NetTravel_deg,AbsoluteTravel_deg,CaptureTime_s,TailHeld,TailDrift_deg,FinalVelocity_rad_s,PeakCurrent_A,LoadWork_J,CopperLoss_J,ResistorLoss_J,ViscousLoss_J,BrakeLoss_J,NumericalLoss_J,NumericalLossFraction,MaxEnergyResidual_J,MaxCapacityExcess_Nm
moving_negative_opposing,mechanical,0.0001,0.6,-8.2545756421662,8.2545756421662,0.0411,1,0,0,0.441919451226967,-0.0011525561864858,0.00349831039016313,0,7.24100419558093e-05,5.57754165330715e-05,2.09479648623329e-05,0.00351915449532278,1.47885176327023e-16,0
moving_negative_opposing,mechanical,5e-05,0.6,-8.26080551505811,8.26080551505811,0.0411,1,0,0,0.443234897578797,-0.00115342604083736,0.0035079088839067,0,7.25270664830029e-05,5.55969565219304e-05,1.05410522508488e-05,0.00177058590776853,1.58293517182884e-16,0
moving_negative_opposing,mechanical,2.5e-05,0.6,-8.2639231903516,8.2639231903516,0.041075,1,0,0,0.443894976519587,-0.0011538613504284,0.00351275760141319,0,7.25856606936487e-05,5.55081915239408e-05,5.28719594089249e-06,0.000888028059389065,8.02309607639273e-17,0
engaged_positive_load,terminal_short,0.0001,0.6,-48.4606404915976,48.4606404915976,NaN,0,8.43618838845135,-1.47239263795282,0.0981595091963536,0.00676638187362932,0.0064696299137048,0,0.000121774986346903,0,3.37355998356183e-07,4.98576646510246e-05,1.43982048506075e-16,0
engaged_positive_load,terminal_short,5e-05,0.6,-48.4606404915912,48.4606404915912,NaN,0,8.43618838856737,-1.47239263795463,0.0981595091964855,0.00676638187362841,0.00646979568780383,0,0.000121777718432175,0,1.6884981217513e-07,2.49542244775176e-05,3.86843335142828e-16,0
engaged_positive_load,terminal_short,2.5e-05,0.6,-48.4606404915902,48.4606404915902,NaN,0,8.43618838862487,-1.47239263795557,0.0981595091965541,0.00676638187362827,0.00646987870158919,0,0.000121779086485502,0,8.44679731239443e-08,1.24834770932979e-05,3.85108611666851e-16,0
engaged_positive_load,resistor,0.0001,0.6,-90.5888235549873,90.5888235549873,NaN,0,16.5668308807611,-2.89152935219163,0.0963842871631332,0.0126485858923417,0.00578719209899476,0.00578719209899476,0.000434919485615252,0,5.99145628034872e-07,4.73685859537575e-05,7.63278329429795e-17,0
engaged_positive_load,resistor,5e-05,0.6,-90.5888229612589,90.5888229612589,NaN,0,16.5668335250078,-2.89152954699547,0.0963842937862957,0.0126485858094417,0.00578733651042344,0.00578733651042344,0.000434929923763929,0,2.99715631217512e-07,2.36955842916277e-05,2.76341449723105e-15,0
engaged_positive_load,resistor,2.5e-05,0.6,-90.5888226653116,90.5888226653116,NaN,0,16.5668348442024,-2.89152964410324,0.0963842970878753,0.0126485857681195,0.00578740876795639,0.00578740876795639,0.000434935146527935,0,1.49893566654153e-07,1.1850618670109e-05,1.17614251671228e-15,0
engaged_positive_load,mechanical,0.0001,0.6,0,0,0,1,0,-0,0,0,0,0,0,0,0,0,0,0
engaged_positive_load,mechanical,5e-05,0.6,0,0,0,1,0,-0,0,0,0,0,0,0,0,0,0,0
engaged_positive_load,mechanical,2.5e-05,0.6,0,0,0,1,0,-0,0,0,0,0,0,0,0,0,0,0
engaged_negative_load,terminal_short,0.0001,0.6,48.4606404915976,48.4606404915976,NaN,0,8.43618838845135,1.47239263795282,0.0981595091963536,0.00676638187362932,0.0064696299137048,0,0.000121774986346903,0,3.37355998356183e-07,4.98576646510246e-05,1.43982048506075e-16,0
engaged_negative_load,terminal_short,5e-05,0.6,48.4606404915912,48.4606404915912,NaN,0,8.43618838856737,1.47239263795463,0.0981595091964855,0.00676638187362841,0.00646979568780383,0,0.000121777718432175,0,1.6884981217513e-07,2.49542244775176e-05,3.86843335142828e-16,0
engaged_negative_load,terminal_short,2.5e-05,0.6,48.4606404915902,48.4606404915902,NaN,0,8.43618838862487,1.47239263795557,0.0981595091965541,0.00676638187362827,0.00646987870158919,0,0.000121779086485502,0,8.44679731239443e-08,1.24834770932979e-05,3.85108611666851e-16,0
engaged_negative_load,resistor,0.0001,0.6,90.5888235549873,90.5888235549873,NaN,0,16.5668308807611,2.89152935219163,0.0963842871631332,0.0126485858923417,0.00578719209899476,0.00578719209899476,0.000434919485615252,0,5.99145628034872e-07,4.73685859537575e-05,7.63278329429795e-17,0
engaged_negative_load,resistor,5e-05,0.6,90.5888229612589,90.5888229612589,NaN,0,16.5668335250078,2.89152954699547,0.0963842937862957,0.0126485858094417,0.00578733651042344,0.00578733651042344,0.000434929923763929,0,2.99715631217512e-07,2.36955842916277e-05,2.76341449723105e-15,0
