Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Grid,FirstParameter,SecondParameter,FirstValue,SecondValue
physical_only,0.109170511673846,0.159153674116872,0.0693392419464513,0,0.438287491348988,0.0195302858245878,0.0885028146598498,0.423199440192009,0,0,13262911.9243246,0.00900000000000012,0,0,0,0,0.0484210165515812,0.01656543445588,0.02,1,ground_conversion,angle_sensitivity,0.3,4.78176249895018
physical_only,0.161436727832304,0.235349710997736,0.102535933546352,0,0.648120974870963,0.028880559308642,0.0885028146598498,0.62580940400076,0,0,13262911.9243246,0.0190000000000001,0,0,0,0,0.124308402969966,0.0131813593661162,0.02,1,ground_conversion,angle_sensitivity,0.3,7.07106781186547
physical_only,0.228306009965581,0.332834753193568,0.145007707851896,0,0.916581472720987,0.040843278663202,0.0885028146598498,0.885028146598498,0,0,13262911.9243246,0.026,0,0,0,0,0.221464364625015,0.00941622134313307,0.02,1,ground_conversion,angle_sensitivity,0.3,10
physical_only,0.238725794114306,0.348025182416152,0.151625794760532,0,0.958413841049399,0.0427073476277502,0.0885028146598498,0.925420435239937,0,0,13262911.9243246,0.0270000000000001,0,0,0,0,0.236645454559603,0.0111177318853454,0.02,1,ground_conversion,angle_sensitivity,0.3,10.4563955259127
physical_only,0.353017591106701,0.514644896236873,0.224217801911999,0,1.41726178650213,0.0631538164446777,0.0885028146598498,1.36847253570296,0,0,13262911.9243246,0.0350000000000001,0,0,0,0,0.403257226266343,0.0315001445923313,0.02,1,ground_conversion,angle_sensitivity,0.3,15.4624747355496
physical_only,0.522027458713169,0.761035070462072,0.331563786845338,0,2.09578668989152,0.093389188349791,0.0885028146598498,2.02363921268686,0,0,13262911.9243246,0.042,0,0,0,0,0.649647400491541,0.0616407930356967,0.02,1,ground_conversion,angle_sensitivity,0.3,22.8652525963663
physical_only,0.771952091101759,1.12538642218774,0.490302481826974,0,3.09916057242104,0.138099975450772,0.0885028146598498,2.9924719395412,0,0,13262911.9243246,0.0490000000000002,0,0,0,0,1.01399875221721,0.106211507094253,0.02,1,ground_conversion,angle_sensitivity,0.3,33.8121668903121
physical_only,1.14153004982793,1.66417376596796,0.725038539259456,0,4.58290736360501,0.204216393316013,0.0885028146598498,4.42514073299249,0,0,13262911.9243246,0.0550000000000002,0,0,0,0,1.55278609599743,0.172167772824431,0.02,1,ground_conversion,angle_sensitivity,0.3,50
physical_only,0.0266158279764612,0.0388196523999722,0.0169155867678313,0,0.0971604009181139,0.00430419432061152,0.0935028146598498,0.0935028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.072583962190676,0.0277444261709699,0.025,1,ground_conversion,angle_sensitivity,0.35,1
physical_only,0.0393583588753747,0.0574048574376756,0.0250140531110105,0,0.143676684835518,0.00636486022113598,0.0935028146598498,0.138268001224495,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0540056221854754,0.0256837602704455,0.025,1,ground_conversion,angle_sensitivity,0.35,1.47875763662831
physical_only,0.0582014737521175,0.0848878713155117,0.0369897220608911,0,0.212462994905947,0.0094120856580766,0.0935028146598498,0.204464862712055,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0265327600268799,0.0226365348335048,0.025,1,ground_conversion,angle_sensitivity,0.35,2.18672414788656
physical_only,0.0860658737739527,0.125528587964883,0.0546988339743228,0,0.314181276218063,0.0139181935434795,0.0935028146598498,0.302353977157611,0,0,13262911.9243246,0.00300000000000011,0,0,0,0,0.0150007304327653,0.0195904957569925,0.025,1,ground_conversion,angle_sensitivity,0.35,3.23363503288679
