Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Parameter,Value,NominalValue,Unit,Role
physical_only,0.0769914755961888,0.111406037161129,0.0484361733736027,0,0.710497607280321,0.0327249966933842,0.0696522163554064,0.696522163554064,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000522929352464054,0.001148556614485,0.00238116214890308,voltage_rise,70.7106781186548,100,ns,response
combined_phase2b,0.0615440548690587,0.128242867304534,0.0373672231616788,0,0.823131219625896,0.0373106261117276,0.0696522163554064,0.696522163554064,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.00592281502282432,0.00125774528129777,0.00238116214890308,voltage_rise,70.7106781186548,100,ns,response
physical_only,0.0769303883452085,0.111389275325914,0.0484150685456752,0,0.696491326881247,0.0320486204915814,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0,0,1.38777878078145e-17,voltage_rise,100,100,ns,response
combined_phase2b,0.0603709493209783,0.12803520945169,0.0368084791251533,0,0.809806545252975,0.0362474028859342,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0,0,1.38777878078145e-17,voltage_rise,100,100,ns,response
physical_only,0.07688736773501,0.111381227374937,0.04840014517874,0,0.686587391031901,0.0315703502926551,0.0676900649266145,0.676900649266145,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000369766891212407,0.000812152170679032,0.0016837359025941,voltage_rise,141.42135623731,100,ns,response
combined_phase2b,0.0595668047246187,0.127888373175778,0.0364133874279646,0,0.800384577646787,0.0354955905330607,0.0676900649266145,0.676900649266145,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.00418806266639395,0.000889360217412656,0.0016837359025941,voltage_rise,141.42135623731,100,ns,response
physical_only,0.0768570350220141,0.11137667177187,0.0483895927647922,0,0.679584250832351,0.0312321621917531,0.0671153640788362,0.671153640788362,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000631231567485781,0.00138643047792254,0.00287431697704563,voltage_rise,200,100,ns,response
combined_phase2b,0.0590114137331707,0.127784544249337,0.0361340154097336,0,0.793722240460346,0.0352279472108369,0.0671153640788362,0.671153640788362,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.00714947017781566,0.00151823285806186,0.00287431697704563,voltage_rise,200,100,ns,response
physical_only,0.0768356303349703,0.111373450474086,0.0483821310813182,0,0.674632282907691,0.0309930270922902,0.0667089892122185,0.667089892122185,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000816115013107887,0.00179250656326279,0.00371618492834268,voltage_rise,282.842712474619,100,ns,response
combined_phase2b,0.0586255017648032,0.127711126111372,0.0359364695611298,0,0.789011256657217,0.0350630856478721,0.0667089892122185,0.667089892122185,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.00924350151101581,0.00196291296676814,0.00371618492834268,voltage_rise,282.842712474619,100,ns,response
physical_only,0.0768205168446764,0.111371172672563,0.0483768548743729,0,0.671130712807906,0.0308239330418387,0.0664216387883294,0.664216387883294,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000946847351228671,0.00207964571688428,0.00431147546556845,voltage_rise,400,100,ns,response
combined_phase2b,0.0583560956320345,0.127659211648158,0.0357967835519697,0,0.78568008806393,0.0349465109187415,0.0664216387883294,0.664216387883294,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0107242052667267,0.00227734928709291,0.00431147546556845,voltage_rise,400,100,ns,response
physical_only,0.0801307050904108,0.113165990116247,0.0485318531892664,0,2.13259738857304,0.0996914299900806,0.214079947231809,2.14079947231809,36,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0255957307491716,0.0699046641047661,0.14557713257196,current_rise,50,200,ns,response
combined_phase2b,0.256573922117462,0.762309634467053,0.0350080491418193,0,2.88804063911548,0.127595149903592,0.214079947231809,2.14079947231809,36,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.639833361578312,0.0918043301085726,0.14557713257196,current_rise,50,200,ns,response
physical_only,0.0788037515600626,0.112472139831099,0.0484862459490648,0,1.57148426003949,0.0732123889851147,0.157228540638964,1.57228540638964,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0155999761264945,0.0426051946651425,0.0887257259791145,current_rise,70.7106781186548,200,ns,response
combined_phase2b,0.168543759241775,0.51250508846821,0.0214004561511769,0,2.07643974151648,0.0917433289082422,0.157228540638964,1.57228540638964,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.389962891209109,0.0559525091132226,0.0887257259791145,current_rise,70.7106781186548,200,ns,response
physical_only,0.0779243131550638,0.111981513589388,0.0484539967601695,0,1.17504085249043,0.0545618330426405,0.117028525517169,1.17028525517169,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00853191024972387,0.0233015547015888,0.0485257108573199,current_rise,100,200,ns,response
combined_phase2b,0.110030409737295,0.335946662952647,0.0220695347672614,0,1.50255124320711,0.0663922631645424,0.117028525517169,1.17028525517169,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.213277787192734,0.0306014433695228,0.0485257108573199,current_rise,100,200,ns,response
physical_only,0.0773329408955508,0.111634588446811,0.0484311931401005,0,0.894713030655794,0.0413738984628189,0.0886028222207469,0.886028222207469,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00353403293839487,0.00965181998177561,0.0201000075608973,current_rise,141.42135623731,200,ns,response
combined_phase2b,0.0752434104700433,0.211101002995022,0.0307034084770455,0,1.09675079440765,0.0484663526668688,0.0886028222207469,0.886028222207469,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0883425520081619,0.0126755328718492,0.0201000075608973,current_rise,141.42135623731,200,ns,response
physical_only,0.0769303883452085,0.111389275325914,0.0484150685456752,0,0.696491326881247,0.0320486204915814,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0,0,1.38777878078145e-17,current_rise,200,200,ns,response
combined_phase2b,0.0603709493209783,0.12803520945169,0.0368084791251533,0,0.809806545252975,0.0362474028859342,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0,0,1.38777878078145e-17,current_rise,200,200,ns,response
physical_only,0.0766536747709314,0.111222665470971,0.0484036667356439,0,0.55632741596398,0.0254546532016721,0.0542899630116386,0.542899630116386,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00249893865569631,0.00682486735990675,0.0142128516482114,current_rise,282.842712474619,200,ns,response
combined_phase2b,0.0590652916482523,0.127402988389051,0.0411254159800389,0,0.606906320853248,0.0276935734873839,0.0542899630116386,0.542899630116386,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0624676175922895,0.00896295524883645,0.0142128516482114,current_rise,282.842712474619,200,ns,response
physical_only,0.0764620207576109,0.111112143701189,0.048395604438393,0,0.457216564076684,0.0207920142160528,0.044632785986895,0.44632785986895,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00426595512487148,0.0116507773507952,0.02426285542866,current_rise,400,200,ns,response
