time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad
0.933,0.523598775598299,0.52544372081265,-0.453933403631536,-0.0689425725358848,0.510570496676789,0.570854970650088,-0.0472561950517888,-0.102055935629989,-0.102055935629989,-0.000109456866769547,-0.00455295146877015,-0.0174795619017358,-0.542084714808358,0.269812078671727,0.106666377213775,-0.457450850965088,-0.0148732241358608,1,1,1,16,0,0,0,0,1,11,0.011,0,0,-0.00367437479681476
0.934,0.523598775598299,0.52497211919348,-0.488744222545141,-0.0630609969806712,0.504758972097191,0.570854970650088,-0.0472561950517888,-0.101175832047518,-0.101175832047518,-8.43396739097652e-05,-0.00350818046903838,-0.0182878695520719,-0.706559428050468,0.269812078671727,0.106666377213775,-0.621689100857803,-0.0202131470962889,1,1,1,15,0,0,0,0,1,12,0.012,0,1,-0.00411712146423682
0.935,0.523598775598299,0.524467177042008,-0.520713882840237,-0.0582975213961161,0.499190742482557,0.570854970650088,-0.0472561950517888,-0.100333496080241,-0.100333496080241,-5.82372553075669e-05,-0.00242242816659447,-0.0188825448865429,-0.862780368129941,0.269812078671727,0.106666377213775,-0.777418963969303,-0.0252764345594508,1,1,1,13,0,0,0,0,1,13,0.013,0,1,-0.00459335190524457
0.936,0.523598775598299,0.523931470925317,-0.550340565638349,-0.0543028859057921,0.493927531903378,0.540879698725345,-0.0172809231270462,-0.0189621835039883,-0.0189621835039883,-3.14545300307418e-05,-0.00130837792940355,-0.0192566411217344,-1.00892261820118,0.269812078671727,0.106666377213775,-0.922821260038538,-0.030003939021939,1,1,1,16,0,1,929,8,0,8,0.008,3,0,-0.0051004889103905
0.937,0.523598775598299,0.523369709242011,-0.570613715180431,-0.0253284938437362,0.489029273765398,0.540879698725345,-0.0172809231270462,-0.0192362397647903,-0.0192362397647903,-4.30436424501633e-06,-0.000179043691728633,-0.0194057881999502,-1.14327899705098,0.269812078671727,0.106666377213775,-1.05619745172888,-0.0343404354766137,1,1,1,15,0,0,0,0,1,9,0.009,0,0,-0.00563382344093222
0.938,0.523598775598299,0.522794338601028,-0.57851665895733,-0.00715325745438087,0.48455907206975,0.540879698725345,-0.0172809231270462,-0.0195039497470135,-0.0195039497470135,2.28960835759878e-05,0.00095238206996969,-0.0193282438386554,-1.26428000177563,0.269812078671727,0.106666377213775,-1.17598948633054,-0.0382352665312777,1,1,1,8,0,0,0,0,1,10,0.01,0,0,-0.00618090825002038
0.939,0.523598775598299,0.52221522855472,-0.578707061582713,0.00409551251930193,0.480572294384604,0.540879698725345,-0.0172809231270462,-0.0197655281254798,-0.0197655281254798,4.98290675819942e-05,0.00207268244679928,-0.0190249138831939,-1.3705121421494,0.269812078671727,0.106666377213775,-1.28079799637202,-0.0416429341701154,1,1,1,14,0,0,0,0,1,11,0.011,0,0,-0.00673187314961632
0.94,0.523598775598299,0.521638488450841,-0.574170346532015,0.0109079851099251,0.477114857205688,0.540879698725345,-0.0172809231270462,-0.0200211823132311,-0.0200211823132311,7.61799663388342e-05,0.00316877049261339,-0.0184993417250293,-1.46073445250908,0.269812078671727,0.106666377213775,-1.36939864652772,-0.0445236312451532,1,1,1,14,0,0,0,0,1,12,0.012,0,1,-0.00728060815850495
0.941,0.523598775598299,0.521067819258001,-0.566816755323184,0.0148850957832574,0.474224112768954,0.540879698725345,-0.0172809231270462,-0.0202711127071727,-0.0202711127071727,0.000101640958122905,0.00422784210100956,-0.0177576669091196,-1.53389298826861,0.269812078671727,0.106666377213775,-1.44075643586294,-0.0468437064890471,1,1,1,16,0,0,0,0,1,13,0.013,0,0,-0.00782341167683898
0.942,0.523598775598299,0.520505382658271,-0.557865371098114,0.0170558380490485,0.471929325041183,0.540879698725345,-0.0172809231270462,-0.0205155129254072,-0.0205155129254072,0.000125914616783852,0.00523752557829625,-0.0168085534139611,-1.58913313772076,0.269812078671727,0.106666377213775,-1.49403778834265,-0.0485760576170876,1,1,1,14,1,0,0,0,1,14,0.014,0,0,-0.00835812139353365
