modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
EDMD hybrid,nominal,nominal_seed_230103,3,230103,250,0.25,128,0.0363908387359507,0.0364062712915942,0.031757067439779,0.0868852774621258,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230103,3,230103,1,0.001,128,0.000157221611644399,0.000462204609222686,0.000157221611644399,0.000831109409043129,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230103,3,230103,20,0.02,128,0.00012821750974833,0.000495253765821746,0.00012821750974833,0.000673161953048895,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230103,3,230103,50,0.05,128,0.00013451233060361,0.000448731239251915,0.00013451233060361,0.000699431639641146,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230103,3,230103,100,0.1,128,0.000136950896427062,0.000461563040215849,0.000136950896427062,0.000709430853389814,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230103,3,230103,250,0.25,128,0.000137347136937611,0.000440293042472129,0.000137347136937611,0.000711046721745379,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230103,3,230103,1,0.001,128,0.000157221611644399,0.000462204609222686,0.000157221611644399,0.000831109409043129,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230103,3,230103,20,0.02,128,0.00012821750974833,0.000495253765821746,0.00012821750974833,0.000673161953048895,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230103,3,230103,50,0.05,128,0.00013451233060361,0.000448731239251915,0.00013451233060361,0.000699431639641146,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230103,3,230103,100,0.1,128,0.000136950896427062,0.000461563040215849,0.000136950896427062,0.000709430853389814,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230103,3,230103,250,0.25,128,0.000137347136937611,0.000440293042472129,0.000137347136937611,0.000711046721745379,0,0,0
Nominal physics,nominal,nominal_seed_230104,4,230104,1,0.001,128,0.000116496393725971,0.000489106368733905,0.000116496393725971,0.00039256167298915,0,0,0
Nominal physics,nominal,nominal_seed_230104,4,230104,20,0.02,128,9.68840528519469e-05,0.000498223015178758,9.68840528519469e-05,0.000497860868816091,0,0,0
Nominal physics,nominal,nominal_seed_230104,4,230104,50,0.05,128,0.00010228584633972,0.000485877731370686,0.00010228584633972,0.000522445284533712,0,0,0
Nominal physics,nominal,nominal_seed_230104,4,230104,100,0.1,128,0.000104370099997932,0.000491640423294406,0.000104370099997932,0.000531783842137479,0,0,0
Nominal physics,nominal,nominal_seed_230104,4,230104,250,0.25,128,0.000104708457142846,0.000472578620062664,0.000104708457142846,0.00053329286514292,0,0,0
Persistent innovation,nominal,nominal_seed_230104,4,230104,1,0.001,128,0.000155659642755644,0.000497785335963505,0.000120550587821164,0.000549272286045177,0,0,0
Persistent innovation,nominal,nominal_seed_230104,4,230104,20,0.02,128,0.000245285549233989,0.000570907898928631,0.000123133028552792,0.000955279365016604,0,0,0
Persistent innovation,nominal,nominal_seed_230104,4,230104,50,0.05,128,0.000438175081403621,0.000688811267109195,0.000305024198390199,0.00148783490729043,0,0,0
Persistent innovation,nominal,nominal_seed_230104,4,230104,100,0.1,128,0.000774003329334317,0.000959030253768513,0.000638550859156921,0.00248117948450027,0,0,0
Persistent innovation,nominal,nominal_seed_230104,4,230104,250,0.25,128,0.00179570876322253,0.00180545595359225,0.00165953191185082,0.0057730047751014,0,0,0
Linear hybrid,nominal,nominal_seed_230104,4,230104,1,0.001,128,0.000255241059263156,0.000497653988799961,0.000167792348587805,0.000878016737469567,0,0,0
Linear hybrid,nominal,nominal_seed_230104,4,230104,20,0.02,128,0.00102648023328837,0.00121118928007664,0.000180227017994729,0.00255886330259464,0,0,0
Linear hybrid,nominal,nominal_seed_230104,4,230104,50,0.05,128,0.00375102191865511,0.00382210497186063,0.00150915424519275,0.00901677582921961,0,0,0
Linear hybrid,nominal,nominal_seed_230104,4,230104,100,0.1,128,0.0120448521827756,0.0120917088483279,0.00798686712132276,0.026892285755477,0,0,0
Linear hybrid,nominal,nominal_seed_230104,4,230104,250,0.25,128,0.0530245813655133,0.0530630242519275,0.0471426036633927,0.117122696983748,0,0,0
EDMD hybrid,nominal,nominal_seed_230104,4,230104,1,0.001,128,0.000256686535515145,0.00049976226446026,0.000167857534484602,0.000866481573880695,0,0,0
EDMD hybrid,nominal,nominal_seed_230104,4,230104,20,0.02,128,0.0010660087460741,0.00124710998952483,0.000181594009219508,0.00297650587259352,0,0,0
EDMD hybrid,nominal,nominal_seed_230104,4,230104,50,0.05,128,0.00391641478338208,0.00398894930102932,0.00157121846231536,0.0105978840807306,0,0,0
EDMD hybrid,nominal,nominal_seed_230104,4,230104,100,0.1,128,0.0125404920583812,0.0125866471700946,0.00833065290579864,0.0316489397349285,0,0,0
EDMD hybrid,nominal,nominal_seed_230104,4,230104,250,0.25,128,0.054622063272493,0.0546572887025109,0.0486172300946247,0.127194435567585,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230104,4,230104,1,0.001,128,0.000116496393725971,0.000489106368733905,0.000116496393725971,0.00039256167298915,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230104,4,230104,20,0.02,128,9.68840528519469e-05,0.000498223015178758,9.68840528519469e-05,0.000497860868816091,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230104,4,230104,50,0.05,128,0.00010228584633972,0.000485877731370686,0.00010228584633972,0.000522445284533712,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230104,4,230104,100,0.1,128,0.000104370099997932,0.000491640423294406,0.000104370099997932,0.000531783842137479,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230104,4,230104,250,0.25,128,0.000104708457142846,0.000472578620062664,0.000104708457142846,0.00053329286514292,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230104,4,230104,1,0.001,128,0.000116496393725971,0.000489106368733905,0.000116496393725971,0.00039256167298915,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230104,4,230104,20,0.02,128,9.68840528519469e-05,0.000498223015178758,9.68840528519469e-05,0.000497860868816091,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230104,4,230104,50,0.05,128,0.00010228584633972,0.000485877731370686,0.00010228584633972,0.000522445284533712,0,0,0
