modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
EDMD hybrid,nominal,nominal_seed_130105,5,130105,100,0.1,128,0.0117224357756327,0.0117009109495199,0.00782588003551678,0.0243585832151101,0,0,0
EDMD hybrid,nominal,nominal_seed_130105,5,130105,250,0.25,128,0.0520324211699495,0.0519885528629926,0.0460173464615997,0.103351151209727,0,0,0
Nominal physics,nominal,nominal_seed_130106,6,130106,1,0.001,128,0.000124634614684603,0.000473253415442012,0.000124634614684603,0.000513095930032792,0,0,0
Nominal physics,nominal,nominal_seed_130106,6,130106,20,0.02,128,0.00011597139413755,0.000446331645107155,0.00011597139413755,0.000530445818106448,0,0,0
Nominal physics,nominal,nominal_seed_130106,6,130106,50,0.05,128,0.000122428496826806,0.000490483253908645,0.000122428496826806,0.000560315206079978,0,0,0
Nominal physics,nominal,nominal_seed_130106,6,130106,100,0.1,128,0.00012491623559918,0.000441541976107282,0.00012491623559918,0.000571666208118438,0,0,0
Nominal physics,nominal,nominal_seed_130106,6,130106,250,0.25,128,0.000125319865102229,0.000497848608694085,0.000125319865102229,0.000573500521251658,0,0,0
Persistent innovation,nominal,nominal_seed_130106,6,130106,1,0.001,128,0.000195185673238999,0.000493737286657309,0.000124544002222382,0.000897409290024687,0,0,0
Persistent innovation,nominal,nominal_seed_130106,6,130106,20,0.02,128,0.000295121340888264,0.000513285034415914,0.000147787355872435,0.00121883143457964,0,0,0
Persistent innovation,nominal,nominal_seed_130106,6,130106,50,0.05,128,0.000527190407506642,0.000751062460570031,0.000366923699847608,0.00201316491836498,0,0,0
Persistent innovation,nominal,nominal_seed_130106,6,130106,100,0.1,128,0.000931230035478258,0.00100174129519019,0.000768255529204011,0.00336338599482927,0,0,0
Persistent innovation,nominal,nominal_seed_130106,6,130106,250,0.25,128,0.0021604141877093,0.00223464536895615,0.00199658695375525,0.0074361671289162,0,0,0
Linear hybrid,nominal,nominal_seed_130106,6,130106,1,0.001,128,0.000257826021606414,0.000535639336437672,0.000171542509913299,0.000787319948764489,0,0,0
Linear hybrid,nominal,nominal_seed_130106,6,130106,20,0.02,128,0.00105839452377788,0.00115995255684718,0.000184241568035141,0.00258145330413945,0,0,0
Linear hybrid,nominal,nominal_seed_130106,6,130106,50,0.05,128,0.00384087636556939,0.00389521340377355,0.00155419080975195,0.00931131841894006,0,0,0
Linear hybrid,nominal,nominal_seed_130106,6,130106,100,0.1,128,0.0122737840899645,0.0122726741862922,0.00814010653745744,0.0286937856898093,0,0,0
Linear hybrid,nominal,nominal_seed_130106,6,130106,250,0.25,128,0.0562316258262907,0.0562459750157868,0.0495090007491663,0.126048876460943,0,0,0
EDMD hybrid,nominal,nominal_seed_130106,6,130106,1,0.001,128,0.000259193471650092,0.000534290228641038,0.000171918800572337,0.000781587012314681,0,0,0
