Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Sample
physical_only,0.100134726994053,0.163240490307849,0.0857871042444567,0,1.98436758038057,0.094220572233882,0.0634808733889557,1.9572088528171,0,0,6753197.23423272,0.0550000000000002,0,0,0,0,0.273328457451782,0.119075896707746,0.131392497032726,14
combined_phase2b,0.13399022555904,0.382420782578059,0.279025790578049,0,2.17695166215819,0.105351317256142,0.0634808733889557,1.9572088528171,0,0,6753197.23423272,0.0680000000000001,0,0,0,17,0.441229269895119,0.132918331332628,0.131392497032726,14
physical_only,3.93495520461343,6.36071632247027,1.75862173164204,0,7.07173092674357,0.293653096577377,0.215724733012648,6.23650502706344,89,0,7330936.18087091,0.052,0,0,0,0,6.2503842752359,0.31254827909587,0.264347729422295,15
combined_phase2b,4.04899042919102,6.58208586923995,2.01779608349779,0,7.52347518977902,0.319946559055586,0.215724733012648,6.23650502706344,89,0,7330936.18087091,0.0580000000000001,0,0,0,17,6.51613326870092,0.340294721969072,0.264347729422295,15
physical_only,0.0780800967357959,0.115898828868103,0.0495086779284601,0,0.368741103226389,0.0166334133933146,0.327356321406534,0.359142684747683,104,0,11213244.0640594,2.22044604925031e-16,0,0,0,0,0.226821175654533,0.0476737424853391,0.392745201955446,16
combined_phase2b,0.0856416188274615,0.133886853466266,0.020191529712779,0,0.366392659833451,0.0156492113970283,0.327356321406534,0.359142684747683,104,0,11213244.0640594,2.22044604925031e-16,0,0,0,17,0.258017761969021,0.0437775933989238,0.392745201955446,16
physical_only,0.289708627198703,0.46522197243689,0.129397624773346,0,0.525091009939611,0.0220301062626171,0.195417029788332,0.461970091193844,0,0,13527585.5000121,0.0170000000000001,0,0,0,0,0.355169040955873,0.0443765010540577,0.243345181285082,17
combined_phase2b,0.310727400941423,0.497889054171506,0.155556673219855,0,0.564616675627539,0.0244389178656996,0.195417029788332,0.461970091193844,0,0,13527585.5000121,0.0210000000000001,0,0,0,17,0.483221716314058,0.0483625986471071,0.243345181285082,17
physical_only,0.432753352699395,0.63481500527103,0.277050534359423,0,2.31741017442929,0.107007018731883,0.109198144362418,2.28778962694935,0,0,21813064.2778512,0.042,0,0,0,0,0.746165538382795,0.133724337809536,0.176947367358538,18
combined_phase2b,0.672123797186729,1.2947761381098,0.352814708756432,0,2.69684095816408,0.116834229853466,0.109198144362418,2.28778962694935,0,0,21813064.2778512,0.0430000000000001,0,0,0,17,1.35950817426551,0.14282754835897,0.176947367358538,18
physical_only,0.166205049247158,0.260169283039085,0.120958120524596,0,0.212907140622881,0.00858066398591059,0.216368439074884,0.284866020973259,60,0,9054253.78487902,0.0230000000000001,0,0,0,0,0.370476308660283,0.0397665076287065,0.284422314370287,19
combined_phase2b,0.160148505801847,0.260802171741613,0.1054702267346,0,0.205309059582972,0.00839076634075308,0.216368439074884,0.284866020973259,60,0,9054253.78487902,0.02,0,0,0,17,0.347028153507705,0.0388166799664861,0.284422314370287,19
physical_only,0.0445696093564196,0.0649566313241316,0.0282818575923423,0,0.279466242713085,0.0128051543822582,0.0197759161152062,0.275020304458978,0,0,14540794.8333842,2.22044604925031e-16,0,0,0,0,0.0465220763936451,0.0396104751248295,0.0779487425608384,20
combined_phase2b,0.0604004453593882,0.119833658412337,0.00920571049774115,0,0.262163034989625,0.0123616032337999,0.0197759161152062,0.275020304458978,0,0,14540794.8333842,2.22044604925031e-16,0,0,0,17,0.24220055678291,0.0475989998255821,0.0779487425608384,20
physical_only,0.326163427218453,0.581914746145375,0.0972003011753902,0,0.659329204362969,0.027413303196472,0.0794598583384915,0.591458214116645,0,0,20864482.6228082,0.01,0,0,0,0,0.471900282704064,0.0488036642114211,0.126633958586155,21
combined_phase2b,0.350115942415159,0.629280426673912,0.124326439956504,0,0.737396311072154,0.0300289112196073,0.0794598583384915,0.591458214116645,0,0,20864482.6228082,0.014,0,0,0,17,0.619643049452002,0.0536859812939929,0.126633958586155,21
physical_only,0.518496996431536,0.757504088706657,0.330348452651492,0,1.20470855636148,0.0517373522235418,0.114683901538328,1.13727488248595,0,0,13812944.9752249,0.05,0,0,0,0,0.647210186232433,0.0697595020068033,0.161443146694614,22
combined_phase2b,0.500530846703295,0.824933902669581,0.327165481170142,0,1.13907029338993,0.049411067943477,0.114683901538328,1.13727488248595,0,0,13812944.9752249,0.052,0,0,0,17,0.947265371063163,0.0684450219430569,0.161443146694614,22
physical_only,0.00591147444166713,0.0120648828046099,0.0113158872653533,0,0.133065063981755,0.00620102906745406,0.0913727737927348,0.121083532057038,0,0,6679529.83750928,2.22044604925031e-16,0,0,0,0,0.123299754105631,0.035050414449352,0.154735470436911,23
combined_phase2b,0.0257534599665058,0.0463480562336155,0.0161612800810734,0,0.135046771927684,0.00607366583215633,0.0913727737927348,0.121083532057038,0,0,6679529.83750928,2.22044604925031e-16,0,0,0,17,0.128183988447799,0.0384336364063392,0.154735470436911,23
physical_only,0.0426636298537732,0.0623797946887248,0.0272073079367981,0,0.0761679050994191,0.00331722572755531,0.0651047730072972,0.0707150514900628,0,0,21732621.5834246,2.22044604925031e-16,0,0,0,0,0.173763997283068,0.03387307435985,0.133353053327886,24
combined_phase2b,0.0380904532764074,0.0522636644460919,0.0245078971110276,0,0.0818357586392726,0.00342209812676833,0.0651047730072972,0.0707150514900628,0,0,21732621.5834246,2.22044604925031e-16,0,0,0,17,0.159277018886853,0.0372368058906348,0.133353053327886,24
physical_only,0.219018817150401,0.321779225968561,0.140490381250617,0,1.45088635660887,0.0666824322732806,0.388398463231229,1.4385878929789,157,0,7299942.77387496,0.0270000000000001,0,0,0,0,0.211550872882606,0.0873082061349507,0.435854630033782,25
combined_phase2b,0.341237625114698,0.799377280664243,0.0519153334120313,0,1.61075869123449,0.0745220718173201,0.388398463231229,1.4385878929789,157,0,7299942.77387496,0.00200000000000022,0,0,0,17,0.826325051000866,0.0986129474587271,0.435854630033782,25
physical_only,2.13896567642317,3.75476964022304,2.20874189331911,0,38.8061469778404,1.83559496848966,0.808556490498599,37.4036115192419,248,0,25033906.1394807,NaN,1,0,0,0,3.86493983747843,1.81532980874274,0.87466904253649,26
combined_phase2b,3.5087580169199,8.24475420217957,2.92309192887567,0,38.4252812181487,1.84680861687503,0.808556490498599,37.4036115192419,248,0,25033906.1394807,NaN,1,0,0,17,8.12227792929083,1.86916465151984,0.87466904253649,26
physical_only,0.764119672429594,1.11739610413621,0.487347795182518,0,1.23558742174839,0.0531244267775064,0.130841574493633,1.13643689865503,0,0,8027024.86216233,0.0590000000000002,0,0,0,0,1.00698078493665,0.0750403220186948,0.178576662804244,27
combined_phase2b,0.802706379721167,1.24860638335749,0.487171264627033,0,1.24935840728011,0.0525735500012299,0.130841574493633,1.13643689865503,0,0,8027024.86216233,0.0590000000000002,0,0,0,17,1.29545301750663,0.0767080495884277,0.178576662804244,27
physical_only,0.189283767233258,0.291204767556471,0.109912956343235,0,0.469088089386961,0.0219821777517605,0.10996675537039,0.483898731706583,0,0,14243547.1621826,0.0350000000000001,0,0,0,0,0.180368331211145,0.0423031804003061,0.154768800378006,28
