time_s,theta_ref_rad,theta_rad,theta_measured_rad,omega_rad_s,current_A,true_tracking_error_rad,measurement_error_rad,voltage_cmd_unsaturated_V,voltage_cmd_V,gaussian_fault_rad,sinusoidal_fault_rad,count_jump_fault_rad,dropout_active,measurement_stale
0.514,0.523598775598299,0.560681088869439,0.560681088869439,-0.0884796852222115,-0.000149561390203618,-0.0370823132711404,0,-0.00764226340430192,-0.00764226340430192,0,0,0,0,0
0.515,0.523598775598299,0.560592586648624,0.560592586648624,-0.0885355098436193,-0.000271052194069588,-0.0369938110503248,0,-0.00777224375623971,-0.00777224375623971,0,0,0,0,0
0.516,0.523598775598299,0.560503996914784,0.560503996914784,-0.0886540554325461,-0.000385233343361771,-0.0369052213164853,0,-0.00789890486884844,-0.00789890486884844,0,0,0,0,0
0.517,0.523598775598299,0.560415258900361,0.560415258900361,-0.0888314326702495,-0.000492296506777297,-0.0368164833020623,0,-0.00802217581228015,-0.00802217581228015,0,0,0,0,0
0.518,0.523598775598299,0.560326315674462,0.560326315674462,-0.089063857686668,-0.000592435152606857,-0.0367275400761634,0,-0.008141994946071,-0.008141994946071,0,0,0,0,0
0.519,0.523598775598299,0.560237114037011,0.560237114037011,-0.0893476528280932,-0.000685844122827138,-0.0366383384387118,0,-0.00825830952523865,-0.00825830952523865,0,0,0,0,0
0.52,0.523598775598299,0.560147604412238,0.560147604412238,-0.0896792472029234,-0.000772719227979529,-0.0365488288139388,0,-0.00837107531265575,-0.00837107531265575,0,0,0,0,0
0.521,0.523598775598299,0.560057740741737,0.560057740741737,-0.0900551770166195,-0.000853256862391634,-0.036458965143438,0,-0.00848025619801618,-0.00848025619801618,0,0,0,0,0
0.522,0.523598775598299,0.559967480377283,0.559967480377283,-0.0904720857067325,-0.000927653639288635,-0.0363687047789838,0,-0.0085858238236758,-0.0085858238236758,0,0,0,0,0
0.523,0.523598775598299,0.55987678397361,0.55987678397361,-0.0909267238886223,-0.0009961060453309,-0.0362780083753111,0,-0.00868775721763089,-0.00868775721763089,0,0,0,0,0
