regime,eventGroup,modelName,baseline,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,modelTruthRMSE,baselineTruthRMSE,truthRMSEDelta,modelNonfiniteForecastCount,baselineNonfiniteForecastCount,pairFailed,bothFailed,modelWins
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130109,9,130109,20,0.02,25,0.000118692137226843,0.000255734260804524,-0.000137042123577681,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130109,9,130109,20,0.02,25,0.000118692137226843,0.00058966345303215,-0.000470971315805307,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130110,10,130110,20,0.02,40,8.3772774361847e-05,0.000204483292099392,-0.000120710517737545,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130110,10,130110,20,0.02,40,8.3772774361847e-05,0.00053509907060283,-0.000451326296240983,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130101,1,130101,20,0.02,88,9.2292330244894e-05,0.000236221133130729,-0.000143928802885835,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130101,1,130101,20,0.02,88,9.2292330244894e-05,0.000813959518026179,-0.000721667187781285,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130102,2,130102,20,0.02,83,8.78010882572474e-05,0.000226332466121245,-0.000138531377863997,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130102,2,130102,20,0.02,83,8.78010882572474e-05,0.00105181089247326,-0.000964009804216009,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130103,3,130103,20,0.02,92,9.00014970894734e-05,0.000207769998617669,-0.000117768501528195,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130103,3,130103,20,0.02,92,9.00014970894734e-05,0.000920185518363015,-0.000830184021273541,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130104,4,130104,20,0.02,88,8.53661766351966e-05,0.000226053140399175,-0.000140686963763978,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130104,4,130104,20,0.02,88,8.53661766351966e-05,0.00132174623917939,-0.00123638006254419,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130105,5,130105,20,0.02,91,0.000107637179460902,0.000299607794360989,-0.000191970614900087,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130105,5,130105,20,0.02,91,0.000107637179460902,0.00115621678205692,-0.00104857960259601,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130106,6,130106,20,0.02,88,8.57146663787342e-05,0.000216826489360983,-0.000131111822982249,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130106,6,130106,20,0.02,88,8.57146663787342e-05,0.00120014046382294,-0.00111442579744421,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130107,7,130107,20,0.02,88,9.97544082624909e-05,0.000251579088773253,-0.000151824680510762,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130107,7,130107,20,0.02,88,9.97544082624909e-05,0.00104608880859942,-0.000946334400336931,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130108,8,130108,20,0.02,92,8.2594498591223e-05,0.000244668845884252,-0.000162074347293029,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130108,8,130108,20,0.02,92,8.2594498591223e-05,0.000860736332365876,-0.000778141833774653,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130109,9,130109,20,0.02,103,8.82062605915021e-05,0.000214122618301921,-0.000125916357710419,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130109,9,130109,20,0.02,103,8.82062605915021e-05,0.000849568383531197,-0.000761362122939695,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130110,10,130110,20,0.02,88,9.47404752803913e-05,0.000229125706950103,-0.000134385231669712,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130110,10,130110,20,0.02,88,9.47404752803913e-05,0.000879600444390107,-0.000784859969109716,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130101,1,130101,50,0.05,128,0.000102942665874295,0.000473366355155252,-0.000370423689280957,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130101,1,130101,50,0.05,128,0.000102942665874295,0.00265790055881393,-0.00255495789293964,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130102,2,130102,50,0.05,128,0.000123300346117669,0.000514094738700694,-0.000390794392583025,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130102,2,130102,50,0.05,128,0.000123300346117669,0.00310845104349541,-0.00298515069737774,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130103,3,130103,50,0.05,128,9.45977777044686e-05,0.000369683080393997,-0.000275085302689529,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130103,3,130103,50,0.05,128,9.45977777044686e-05,0.00301425624319393,-0.00291965846548946,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130104,4,130104,50,0.05,128,9.47671730099965e-05,0.000425691095792901,-0.000330923922782905,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130104,4,130104,50,0.05,128,9.47671730099965e-05,0.00431524045360209,-0.00422047328059209,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130105,5,130105,50,0.05,128,0.000116671182200253,0.000535078525203492,-0.000418407343003239,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130105,5,130105,50,0.05,128,0.000116671182200253,0.00373872727962858,-0.00362205609742833,0,0,0,0,1
