modelName,regime,eventGroup,horizonSamples,horizonSeconds,forecastCount,nonfiniteForecastCount,learnedCandidateNonfiniteCount,unknownReversalForecastCount,startupTargetCount,truthBias,truthStd,truthRMSE,truthP95AbsoluteError,truthMaxAbsoluteError,measurementBias,measurementStd,measurementRMSE,measurementP95AbsoluteError,measurementMaxAbsoluteError,posteriorTruthRMSE,runCount
Linear hybrid,nominal,all,50,0.05,1280,0,0,0,0,-0.000239780146736081,0.00318974880808092,0.00321564158066336,0.0061954463186089,0.00997809129339222,-0.000247052154259104,0.00322564645798262,0.00325100281779707,0.0063002151701925,0.0107889797358978,0.00133512786556374,10
Linear hybrid,nominal,nearReversal,50,0.05,382,0,0,0,0,-0.000148721035223895,0.00149004701012757,0.00150805572781449,0.00294262964381616,0.00434481249564302,-0.000129595328902693,0.00151977948162787,0.00153796505816836,0.00301611780246256,0.00449135074821649,0.000812170259244015,10
Linear hybrid,nominal,awayFromReversal,50,0.05,898,0,0,0,0,-0.000283443142018631,0.00368064045149729,0.00372037334065214,0.00642852565806207,0.00997809129339222,-0.000301708514587402,0.00371922089253458,0.00375824630760925,0.00659664727621243,0.0107889797358978,0.00150707942798074,10
Linear hybrid,nominal,all,100,0.1,1280,0,0,0,0,-0.000829155850201786,0.0100929011448206,0.0101796571223205,0.0195710005998674,0.0300692119398171,-0.000830501812184213,0.0101024316373803,0.0101874519015984,0.0196561679881998,0.0301585099254033,0.00676737013043757,10
Linear hybrid,nominal,nearReversal,100,0.1,379,0,0,0,0,-0.00061961923322825,0.00494709083626666,0.00501878430244251,0.00997004184102523,0.0172511187468878,-0.000644279192314516,0.00497597690458311,0.00505570094943966,0.00993569323488755,0.0166021222429968,0.00380967639387107,10
Linear hybrid,nominal,awayFromReversal,100,0.1,901,0,0,0,0,-0.00096200289312655,0.0115822275026395,0.011712420419899,0.020318640153526,0.0300692119398171,-0.000960397852666856,0.0115840782843343,0.0117130660903662,0.0203141700663341,0.0301585099254033,0.00769421831772889,10
Linear hybrid,nominal,all,250,0.25,1280,0,0,0,0,-0.00454046531617385,0.0459495181919176,0.0464700427631396,0.0908185841053579,0.135570147989168,-0.0045431641896645,0.0459505346133016,0.0464698396813567,0.0905914195209974,0.136159415031131,0.0409216498389176,10
Linear hybrid,nominal,nearReversal,250,0.25,371,0,0,0,0,-0.00590567729076023,0.0495006222560482,0.050331650858812,0.0866064867386101,0.135570147989168,-0.00587662691211885,0.0494965814437708,0.0503195310926538,0.0865881921035662,0.136159415031131,0.0455689466149282,10
Linear hybrid,nominal,awayFromReversal,250,0.25,909,0,0,0,0,-0.00409721251580156,0.0440258353310392,0.0446588709825845,0.0908473029269271,0.126879604848822,-0.00411038195711384,0.0440298611429804,0.0446604622554615,0.0909607967584057,0.126622291861524,0.0387366187685964,10
EDMD hybrid,nominal,all,1,0.001,1280,0,0,0,0,-6.44885463717662e-06,0.00025504961757416,0.000255672201641712,0.000513958366137845,0.000887093151260399,-1.71133768299501e-05,0.000519263201817793,0.000521644347106619,0.000960678005038573,0.00158981518229689,0.000180120500688371,10
EDMD hybrid,nominal,nearReversal,1,0.001,379,0,0,0,0,1.66920467928191e-05,0.000262056068473937,0.000265311677920045,0.000496224785327761,0.000781587012314681,-5.31824745168317e-06,0.000509439489102934,0.0005106728888491,0.000996672782703673,0.00147865602114911,0.000189162486352589,10
EDMD hybrid,nominal,awayFromReversal,1,0.001,901,0,0,0,0,-1.47439949816442e-05,0.000249482860266886,0.000250853618433641,0.000497312187097064,0.000887093151260399,-2.23996568298658e-05,0.000519847596938482,0.000524874150309103,0.000942603249002354,0.00158981518229689,0.000175204868082775,10
EDMD hybrid,nominal,all,20,0.02,1280,0,0,0,0,-6.3012736059935e-05,0.000918431518011063,0.000925374300258319,0.00178535262629588,0.00359512772424303,-6.40504272315402e-05,0.00103055305600014,0.00103555702947444,0.00194123466089735,0.00395830506616173,0.000172223024970749,10
EDMD hybrid,nominal,nearReversal,20,0.02,379,0,0,0,0,4.51278031541489e-05,0.000644873494172625,0.000654697356938071,0.00122721538438228,0.002052786734417,2.66024583834284e-05,0.000779514469854293,0.000784801780376478,0.00149432532579763,0.00248512021429037,0.000185184958057443,10
EDMD hybrid,nominal,awayFromReversal,20,0.02,901,0,0,0,0,-0.000107458751375598,0.00100549794199843,0.00101905562237909,0.0019119358766511,0.00359512772424303,-0.00010733835169813,0.00111367366566137,0.00112472615274119,0.00207346945654293,0.00395830506616173,0.000164840347923757,10
EDMD hybrid,nominal,all,50,0.05,1280,0,0,0,0,-0.000250942117684554,0.00321840813919761,0.00324558346841792,0.00649101373165302,0.011955439932693,-0.000258214125207577,0.00325640736767001,0.00328358482665,0.00647315844997134,0.0127663283751985,0.0013467328589974,10
EDMD hybrid,nominal,nearReversal,50,0.05,382,0,0,0,0,5.42484453052963e-05,0.00150257699747052,0.00151744231384233,0.0029612330064938,0.00437783731580643,7.33741516264979e-05,0.00153173644576095,0.00154920946712982,0.0030172170111302,0.00496710435776992,0.000815547126895035,10
EDMD hybrid,nominal,awayFromReversal,50,0.05,898,0,0,0,0,-0.00038851585723722,0.0037065655068474,0.00375547724540546,0.00683356884144108,0.011955439932693,-0.000406781229805991,0.00374700410548973,0.00379618602532698,0.00696696045047022,0.0127663283751985,0.00152091765777108,10
EDMD hybrid,nominal,all,100,0.1,1280,0,0,0,0,-0.000846480530840704,0.0101723283384971,0.0102618805757322,0.0203435873352147,0.035754476911302,-0.000847826492823131,0.0101825379844355,0.010270127768453,0.0205099237440318,0.0355231666433535,0.00682732082123397,10
EDMD hybrid,nominal,nearReversal,100,0.1,379,0,0,0,0,-0.000337656005341512,0.00505032487852574,0.00510275891444056,0.00989660476331116,0.0211713022794424,-0.000362315964427778,0.00507687573211333,0.00513453594337258,0.0101532566690794,0.0205223057755515,0.00386670040773184,10
EDMD hybrid,nominal,awayFromReversal,100,0.1,901,0,0,0,0,-0.00110926868716442,0.0116550347881559,0.0117985508123662,0.0216497054579393,0.035754476911302,-0.00110766364670472,0.01165801000131,0.0118003530279181,0.0214934484111661,0.0355231666433535,0.00775696659453266,10
EDMD hybrid,nominal,all,250,0.25,1280,0,0,0,0,-0.00423188359241056,0.0460484689150041,0.0465425541529143,0.0917456063660568,0.146542457415313,-0.00423458246590122,0.0460483850376823,0.0465417225852817,0.0916649173155215,0.146990104584325,0.0410283461623855,10
EDMD hybrid,nominal,nearReversal,250,0.25,371,0,0,0,0,-0.00662302261021479,0.0497072334898673,0.0507086890718024,0.0900967877625575,0.146542457415313,-0.0065939722315734,0.0497052233458447,0.0506978281135427,0.0901166838202836,0.146990104584325,0.0459196269837173,10
EDMD hybrid,nominal,awayFromReversal,250,0.25,909,0,0,0,0,-0.00336874442523474,0.0440090891683612,0.044560243644645,0.0902838666238786,0.134678917801763,-0.00338191386654702,0.0440107204750937,0.0445598374488615,0.0903261334525558,0.135064119765835,0.0386988739616203,10
Nominal physics,varied,all,1,0.001,1280,0,0,0,0,-0.000378493240946394,0.00807116693993988,0.00816480239203119,0.0148491571953396,0.0188821754922553,-0.000384367184809993,0.00808936333820825,0.00818133377491046,0.0149677497424546,0.0196109821076125,0.00816480239203119,10
Nominal physics,varied,nearReversal,1,0.001,389,0,0,0,0,-4.14230399046431e-05,0.00775037147292014,0.00799820850682209,0.0139757876588398,0.0174272709750077,-4.32980178952531e-05,0.00779003228998048,0.00803413042338153,0.0141888628384746,0.0180928368038804,0.00799820850682209,10
