PeakDM_V,PeakCM_V,PeakGround_V,AbsAreaDM_Vs,AbsAreaCM_Vs,NoiseExposure_s,ReceiverBand_s,NoiseCrossings,ReceiverCrossings,Grazing,MinimumTotalDifferential_V,MaximumTotalDifferential_V,MaximumTotalCommonMode_V,CommonModeLimitExceeded,Case,Level,MaxStep_s,RelativeTolerance,AbsoluteTolerance,Runtime_s,NativeSamples,ReferenceSamples,ReferenceDMError_V,ReferenceCMError_V,ReferenceGroundError_V,ReferenceCurrentError_A,ReferencePassed,AllFinite,WarningCount,StopEvent
0.0517371499565566,0.725338537432719,0.653848864677516,5.59106962302324e-09,4.17684210422738e-07,0,1.83812370268579e-08,0,2,0,-1.09147660895278,1.08583410037425,3.18954648117084,0,transition_lags,3,2.5e-10,1e-05,1e-09,0.8105825,21555,21555,6.10311400484065e-06,4.47604537638924e-05,2.92898145179965e-05,2.07582894914959e-06,1,1,0,ReachedStopTime
1.82346381390519,2.37090139064332,0.653751853671159,1.85103390177194e-07,5.82175114110612e-07,1.34087494242633e-07,1.53946420784849e-08,2,4,0,-0.737546326704652,1.08600087402683,2.51733009767258,0,stress_fall,1,1e-09,1e-05,1e-09,0.9683696,5884,5884,7.42918495468814e-05,5.31811571193863e-05,5.76580506952418e-05,2.45090095107869e-06,1,1,0,ReachedStopTime
1.82346016862532,2.37089931201708,0.653755894842567,1.85103382831377e-07,5.82175108252124e-07,1.3408490006332e-07,1.53944113078364e-08,2,4,0,-0.737542681424787,1.08600087402682,2.51733009767258,0,stress_fall,2,5e-10,1e-05,1e-09,0.7754474,11513,11513,3.15283485328166e-05,4.85466264752432e-05,5.08845849247486e-05,2.23930816645179e-06,1,1,0,ReachedStopTime
1.82345902683557,2.37089866093816,0.653748528508578,1.85103379271783e-07,5.82175103116176e-07,1.3408682989047e-07,1.53939898905569e-08,2,4,0,-0.737541539635033,1.08600087402682,2.51733009767258,0,stress_fall,3,2.5e-10,1e-05,1e-09,1.2044537,20262,20262,1.77358608202116e-05,3.07136781148021e-05,4.94087026106094e-05,2.19680475543882e-06,1,1,0,ReachedStopTime
0.0518218239851167,0.725338507484588,0.653847072332972,1.26336384144144e-07,2.10573120568082e-05,0,0,0,0,0,1.03409566321542,1.13765622773255,3.24266860515717,0,pwm_10,1,1e-09,1e-05,1e-09,7.9348912,567909,100258,7.35266616458397e-06,5.38795191702413e-05,4.56980848291266e-05,2.55210362798408e-06,1,1,0,ReachedStopTime
0.0518213972910948,0.725338507333201,0.653852288957886,1.26336371203582e-07,2.10573121020039e-05,0,0,0,0,0,1.03409608990944,1.13765573178457,3.24266860500578,0,pwm_10,2,5e-10,1e-05,1e-09,16.9565402,1117128,100277,6.99640257595391e-06,5.12802410601587e-05,3.54607706309906e-05,2.3985121837683e-06,1,1,0,ReachedStopTime
0.0518213158352516,0.725338507294925,0.65385586259162,1.26336371043056e-07,2.10573120577707e-05,0,0,0,0,0,1.03409617136528,1.13765527248039,3.24266860496751,0,pwm_10,3,2.5e-10,1e-05,1e-09,29.4377363,2217095,100299,6.44113230841015e-06,4.78096605069922e-05,3.30234270569107e-05,2.27459759960524e-06,1,1,0,ReachedStopTime
0.0518218966337747,0.725338507484588,0.653847072332972,2.52672756796867e-07,4.21146241951341e-05,0,0,0,0,0,1.03409559056676,1.13765622773255,3.24266860515717,0,pwm_20,1,1e-09,1e-05,1e-09,17.3505742,1136629,100546,7.31891069083446e-06,5.40481144655214e-05,4.78612252856614e-05,2.50682563818216e-06,1,1,0,ReachedStopTime
0.0518213972910948,0.725338507363775,0.65386078595926,2.526727431306e-07,4.21146241804494e-05,0,0,0,0,0,1.03409608990944,1.13765573178457,3.24266860503636,0,pwm_20,2,5e-10,1e-05,1e-09,33.0466038,2227456,100577,7.00120970931195e-06,5.14149216854776e-05,3.56830413479337e-05,2.39081394590168e-06,1,1,0,ReachedStopTime
0.0518214358365516,0.725338507373361,0.653864815510467,2.52672730228376e-07,4.21146241152703e-05,0,0,0,0,0,1.03409605136398,1.13765538889361,3.24266860504594,0,pwm_20,3,2.5e-10,1e-05,1e-09,67.3183372,4426555,100593,6.50740331931132e-06,4.77653669441747e-05,3.30594044193333e-05,2.26382761357724e-06,1,1,0,ReachedStopTime
