time_s,theta_ref_rad,theta_rad,theta_measured_rad,omega_rad_s,current_A,true_tracking_error_rad,measurement_error_rad,voltage_cmd_unsaturated_V,voltage_cmd_V,gaussian_fault_rad,sinusoidal_fault_rad,count_jump_fault_rad,dropout_active,measurement_stale
1.175,0.523598775598299,0.525098428014767,0.525098428014767,-0.00823051946761631,7.26585741559931e-05,-0.00149965241646821,0,-0.000570523744313438,-0.000570523744313438,0,0,0,0,0
1.176,0.523598775598299,0.525090219603887,0.525090219603887,-0.00818634146530137,7.22830690502949e-05,-0.00149144400558776,0,-0.000567444268657262,-0.000567444268657262,0,0,0,0,0
1.177,0.523598775598299,0.52508205525619,0.52508205525619,-0.00814239290625589,7.1909393341102e-05,-0.00148327965789163,0,-0.000564380932329983,-0.000564380932329983,0,0,0,0,0
1.178,0.523598775598299,0.525073934742799,0.525073934742799,-0.00809867266316708,7.15375381754738e-05,-0.00147515914450058,0,-0.000561333655739924,-0.000561333655739924,0,0,0,0,0
1.179,0.523598775598299,0.525065857835959,0.525065857835959,-0.0080551796141768,7.11674947850009e-05,-0.00146708223766023,0,-0.00055830235963463,-0.00055830235963463,0,0,0,0,0
1.18,0.523598775598299,0.525057824309034,0.525057824309034,-0.00801191264283341,7.07992544837799e-05,-0.00145904871073499,0,-0.000555286965097315,-0.000555286965097315,0,0,0,0,0
1.181,0.523598775598299,0.525049833936502,0.525049833936502,-0.00796887063804451,7.04328086670784e-05,-0.00145105833820336,0,-0.000552287393547163,-0.000552287393547163,0,0,0,0,0
1.182,0.523598775598299,0.525041886493951,0.525041886493951,-0.00792605249403057,7.00681488092235e-05,-0.00144311089565208,0,-0.000549303566736265,-0.000549303566736265,0,0,0,0,0
1.183,0.523598775598299,0.52503398175807,0.52503398175807,-0.00788345711027969,6.97052664621059e-05,-0.00143520615977089,0,-0.000546335406748305,-0.000546335406748305,0,0,0,0,0
1.184,0.523598775598299,0.525026119506647,0.525026119506647,-0.00784108339150307,6.93441532535322e-05,-0.00142734390834787,0,-0.00054338283599868,-0.00054338283599868,0,0,0,0,0
1.185,0.523598775598299,0.525018299518562,0.525018299518562,-0.00779893024759166,6.89848008850508e-05,-0.00141952392026345,0,-0.000540445777230957,-0.000540445777230957,0,0,0,0,0
1.186,0.523598775598299,0.525010521573785,0.525010521573785,-0.00775699659357371,6.86272011306425e-05,-0.00141174597548577,0,-0.000537524153516888,-0.000537524153516888,0,0,0,0,0
1.187,0.523598775598299,0.525002785453364,0.525002785453364,-0.00771528134957318,6.82713458348405e-05,-0.00140400985506517,0,-0.000534617888254245,-0.000534617888254245,0,0,0,0,0
1.188,0.523598775598299,0.524995090939428,0.524995090939428,-0.00767378344076917,6.79172269112089e-05,-0.00139631534112949,0,-0.000531726905166419,-0.000531726905166419,0,0,0,0,0
1.189,0.523598775598299,0.524987437815178,0.524987437815178,-0.00763250179735613,6.75648363405113e-05,-0.00138866221687906,0,-0.000528851128301324,-0.000528851128301324,0,0,0,0,0
1.19,0.523598775598299,0.52497982586488,0.52497982586488,-0.00759143535450523,6.72141661689274e-05,-0.00138105026658097,0,-0.00052599048202848,-0.00052599048202848,0,0,0,0,0
1.191,0.523598775598299,0.524972254873864,0.524972254873864,-0.0075505830523264,6.68652085069071e-05,-0.00137347927556541,0,-0.000523144891041103,-0.000523144891041103,0,0,0,0,0
1.192,0.523598775598299,0.524964724628518,0.524964724628518,-0.00750994383583138,6.65179555268432e-05,-0.00136594903021936,0,-0.000520314280351548,-0.000520314280351548,0,0,0,0,0
1.193,0.523598775598299,0.524957234916281,0.524957234916281,-0.0074695166548977,6.61723994621545e-05,-0.00135845931798262,0,-0.000517498575292701,-0.000517498575292701,0,0,0,0,0
1.194,0.523598775598299,0.524949785525642,0.524949785525642,-0.00742930046423332,6.58285326053705e-05,-0.00135100992734272,0,-0.000514697701516284,-0.000514697701516284,0,0,0,0,0
1.195,0.523598775598299,0.524942376246129,0.524942376246129,-0.00738929422334235,6.54863473065985e-05,-0.00134360064783012,0,-0.000511911584992026,-0.000511911584992026,0,0,0,0,0
1.196,0.523598775598299,0.524935006868312,0.524935006868312,-0.00734949689649154,6.5145835971981e-05,-0.00133623127001337,0,-0.000509140152006447,-0.000509140152006447,0,0,0,0,0
1.197,0.523598775598299,0.524927677183793,0.524927677183793,-0.00730990745267757,6.48069910622836e-05,-0.00132890158549415,0,-0.000506383329161606,-0.000506383329161606,0,0,0,0,0
1.198,0.523598775598299,0.524920386985202,0.524920386985202,-0.00727052486559513,6.44698050916012e-05,-0.00132161138690301,0,-0.000503641043375276,-0.000503641043375276,0,0,0,0,0
1.199,0.523598775598299,0.524913136066193,0.524913136066193,-0.00723134811360575,6.41342706256988e-05,-0.00131436046789457,0,-0.000500913221879859,-0.000500913221879859,0,0,0,0,0
1.2,0.523598775598299,0.524905924221441,0.524905924221441,-0.00719237617970756,6.38003802805524e-05,-0.00130714862314252,0,-0.000498199792220631,-0.000498199792220631,0,0,0,0,0
1.201,0.523598775598299,0.524898751246634,0.524898751246634,-0.0071536080515057,6.34681267212413e-05,-0.00129997564833539,0,-0.000495500682256052,-0.000495500682256052,0,0,0,0,0
1.202,0.523598775598299,0.524891616938471,0.524891616938471,-0.00711504272118345,6.31375026604253e-05,-0.00129284134017182,0,-0.000492815820156485,-0.000492815820156485,0,0,0,0,0
1.203,0.523598775598299,0.524884521094655,0.524884521094655,-0.00707667918547413,6.28085008570827e-05,-0.00128574549635596,0,-0.00049014513440348,-0.00049014513440348,0,0,0,0,0
1.204,0.523598775598299,0.524877463513892,0.524877463513892,-0.00703851644563372,6.2481114115256e-05,-0.00127868791559294,0,-0.000487488553788983,-0.000487488553788983,0,0,0,0,0
1.205,0.523598775598299,0.524870443995883,0.524870443995883,-0.00700055350741413,6.21553352828375e-05,-0.00127166839758419,0,-0.000484846007414199,-0.000484846007414199,0,0,0,0,0
1.206,0.523598775598299,0.524863462341323,0.524863462341323,-0.00696278938103706,6.18311572505101e-05,-0.00126468674302371,0,-0.000482217424690777,-0.000482217424690777,0,0,0,0,0
1.207,0.523598775598299,0.524856518351891,0.524856518351891,-0.00692522308116868,6.15085729500602e-05,-0.00125774275359258,0,-0.000479602735337451,-0.000479602735337451,0,0,0,0,0
1.208,0.523598775598299,0.524849611830254,0.524849611830254,-0.00688785362689492,6.11875753537673e-05,-0.00125083623195488,0,-0.000477001869380223,-0.000477001869380223,0,0,0,0,0
1.209,0.523598775598299,0.524842742580053,0.524842742580053,-0.00685068004169714,6.08681574733454e-05,-0.001243966981754,0,-0.000474414757153681,-0.000474414757153681,0,0,0,0,0
1.21,0.523598775598299,0.524835910405906,0.524835910405906,-0.00681370135342871,6.05503123582619e-05,-0.00123713480760723,0,-0.000471841329297453,-0.000471841329297453,0,0,0,0,0
1.211,0.523598775598299,0.524829115113401,0.524829115113401,-0.00677691659429198,6.02340330952361e-05,-0.00123033951510176,0,-0.000469281516756524,-0.000469281516756524,0,0,0,0,0
1.212,0.523598775598299,0.524822356509089,0.524822356509089,-0.00674032480081588,5.99193128072504e-05,-0.00122358091079067,0,-0.000466735250781482,-0.000466735250781482,0,0,0,0,0
1.213,0.523598775598299,0.524815634400487,0.524815634400487,-0.00670392501383396,5.9606144652297e-05,-0.00121685880218825,0,-0.000464202462926902,-0.000464202462926902,0,0,0,0,0
1.214,0.523598775598299,0.524808948596065,0.524808948596065,-0.00666771627846306,5.92945218225663e-05,-0.00121017299776571,0,-0.000461683085050593,-0.000461683085050593,0,0,0,0,0
1.215,0.523598775598299,0.524802298905246,0.524802298905246,-0.00663169764408247,5.89844375436502e-05,-0.00120352330694717,0,-0.000459177049313668,-0.000459177049313668,0,0,0,0,0
1.216,0.523598775598299,0.524795685138404,0.524795685138404,-0.00659586816431352,5.86758850735007e-05,-0.00119690954010521,0,-0.000456684288179372,-0.000456684288179372,0,0,0,0,0
1.217,0.523598775598299,0.524789107106855,0.524789107106855,-0.00656022689699969,5.83688577016475e-05,-0.00119033150855663,0,-0.000454204734412449,-0.000454204734412449,0,0,0,0,0
1.218,0.523598775598299,0.524782564622857,0.524782564622857,-0.00652477290418718,5.80633487484163e-05,-0.0011837890245584,0,-0.000451738321078757,-0.000451738321078757,0,0,0,0,0
1.219,0.523598775598299,0.524776057499602,0.524776057499602,-0.00648950525210588,5.77593515640778e-05,-0.00117728190130317,0,-0.000449284981543929,-0.000449284981543929,0,0,0,0,0
1.22,0.523598775598299,0.524769585551214,0.524769585551214,-0.00645442301115078,5.74568595282709e-05,-0.0011708099529153,0,-0.000446844649473185,-0.000446844649473185,0,0,0,0,0
1.221,0.523598775598299,0.524763148592746,0.524763148592746,-0.00641952525586375,5.71558660492363e-05,-0.00116437299444694,0,-0.000444417258831378,-0.000444417258831378,0,0,0,0,0
1.222,0.523598775598299,0.524756746440172,0.524756746440172,-0.00638481106491571,5.68563645628702e-05,-0.00115797084187341,0,-0.000442002743880896,-0.000442002743880896,0,0,0,0,0
1.223,0.523598775598299,0.524750378910388,0.524750378910388,-0.00635027952108927,5.65583485323598e-05,-0.00115160331208908,0,-0.000439601039181015,-0.000439601039181015,0,0,0,0,0
1.224,0.523598775598299,0.524744045821203,0.524744045821203,-0.00631592971126153,5.62618114477234e-05,-0.001145270222904,0,-0.000437212079589298,-0.000437212079589298,0,0,0,0,0
1.225,0.523598775598299,0.524737746991338,0.524737746991338,-0.00628176072638736,5.59667468246508e-05,-0.00113897139303898,0,-0.00043483580025843,-0.00043483580025843,0,0,0,0,0
1.226,0.523598775598299,0.524731482240421,0.524731482240421,-0.00624777166148299,5.56731482043708e-05,-0.00113270664212184,0,-0.000432472136636622,-0.000432472136636622,0,0,0,0,0
1.227,0.523598775598299,0.524725251388982,0.524725251388982,-0.00621396161560988,5.53810091530286e-05,-0.00112647579068348,0,-0.000430121024467051,-0.000430121024467051,0,0,0,0,0
1.228,0.523598775598299,0.524719054258453,0.524719054258453,-0.00618032969185886,5.509032326107e-05,-0.00112027866015374,0,-0.000427782399786954,-0.000427782399786954,0,0,0,0,0
1.229,0.523598775598299,0.524712890671156,0.524712890671156,-0.00614687499733463,5.48010841427518e-05,-0.00111411507285708,0,-0.000425456198926076,-0.000425456198926076,0,0,0,0,0
1.23,0.523598775598299,0.524706760450308,0.524706760450308,-0.00611359664314041,5.45132854359406e-05,-0.00110798485200925,0,-0.000423142358507763,-0.000423142358507763,0,0,0,0,0
1.231,0.523598775598299,0.524700663420012,0.524700663420012,-0.00608049374436293,5.42269208012542e-05,-0.00110188782171272,0,-0.000420840815446702,-0.000420840815446702,0,0,0,0,0
1.232,0.523598775598299,0.524694599405252,0.524694599405252,-0.00604756542005767,5.39419839218698e-05,-0.00109582380695272,0,-0.000418551506948132,-0.000418551506948132,0,0,0,0,0
