time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad,delta_command_V,delta_received_measurement_rad,pre_window_active,analysis_window_active,post_window_active,configured_fault_window_active
1.211,0.523598775598299,0.524837209885784,-0.00669290652570294,5.35073977836109e-05,0.524837209885784,0.524837209885784,-0.00123843428748505,-0.000469973139283628,-0.000469973139283628,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1212,0,0,0,0,0,0,3.64316184775504e-06,9.48044004667713e-08,3.64316184775504e-06,0,0,1,0
1.212,0.523598775598299,0.524830533493398,-0.00665988761534156,5.34515145372798e-05,0.524830533493398,0.524830533493398,-0.00123175789509888,-0.000467416399704272,-0.000467416399704272,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1213,0,0,0,0,0,0,3.73184022472994e-06,1.10837392247338e-07,3.73184022472994e-06,0,0,1,0
1.213,0.523598775598299,0.524823890093492,-0.00662692199116581,5.33907298165101e-05,0.524823890093492,0.524823890093492,-0.00122511449519336,-0.000464870055956219,-0.000464870055956219,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1214,0,0,0,0,0,0,3.81713341768286e-06,1.29838068490228e-07,3.81713341768286e-06,0,0,1,0
1.214,0.523598775598299,0.524817279631486,-0.00659401224732322,5.3324999377605e-05,0.524817279631486,0.524817279631486,-0.00121850403318724,-0.000462334329734717,-0.000462334329734717,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1215,0,0,0,0,0,0,3.89917654708416e-06,1.51517666580493e-07,3.89917654708416e-06,0,0,1,0
1.215,0.523598775598299,0.524810702050194,-0.00656116099621095,5.32542916083773e-05,0.524810702050194,0.524810702050194,-0.00121192645189505,-0.000459809430758833,-0.000459809430758833,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1216,0,0,0,0,0,0,3.9781011920148e-06,1.75599707131005e-07,3.9781011920148e-06,0,0,1,0
1.216,0.523598775598299,0.524804157289812,-0.00652837086190334,5.31785868903127e-05,0.524804157289812,0.524804157289812,-0.00120538169151274,-0.000457295556982822,-0.000457295556982822,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1217,0,0,0,0,0,0,4.05403537950821e-06,2.01819782816304e-07,4.05403537950821e-06,0,0,1,0
1.217,0.523598775598299,0.524797645287908,-0.00649564447392051,5.3097876974399e-05,0.524797645287908,0.524797645287908,-0.00119886968960903,-0.000454792894814328,-0.000454792894814328,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1218,0,0,0,0,0,0,4.12710358055346e-06,2.29925337643776e-07,4.12710358055346e-06,0,0,1,0
1.218,0.523598775598299,0.524791165979422,-0.00646298446133004,5.30121643718006e-05,0.524791165979422,0.524791165979422,-0.00119239038112273,-0.000452301619340394,-0.000452301619340394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1219,0,0,0,0,0,0,4.19742671087242e-06,2.59675441681168e-07,4.19742671087242e-06,0,0,1,0
1.219,0.523598775598299,0.524784719296665,-0.0064303934471736,5.29214617595941e-05,0.524784719296665,0.524784719296665,-0.00118594369836611,-0.000449821894561324,-0.000449821894561324,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1220,0,0,0,0,0,0,4.26512213935748e-06,2.90840553382552e-07,4.26512213935748e-06,0,0,1,0
1.22,0.523598775598299,0.524778305169333,-0.00639787404321027,5.28257914014692e-05,0.524778305169333,0.524778305169333,-0.00117952957103384,-0.000447353873631624,-0.000447353873631624,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1221,0,0,0,0,0,0,4.33030370028398e-06,3.23202279927173e-07,4.33030370028398e-06,0,0,1,0
1.221,0.523598775598299,0.524771923524515,-0.00636542884496835,5.27251845833826e-05,0.524771923524515,0.524771923524515,-0.00117314792621626,-0.00044489769910417,-0.00044489769910417,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1222,0,0,0,0,0,0,4.39308171107378e-06,3.56553130665804e-07,4.39308171107378e-06,0,0,1,0
1.222,0.523598775598299,0.524765574286717,-0.00633306042709718,5.26196810651603e-05,0.524765574286717,0.524765574286717,-0.00116679868841851,-0.000442453503182535,-0.000442453503182535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1223,0,0,0,0,0,0,4.45356299538791e-06,3.90696264188084e-07,4.45356299538791e-06,0,0,1,0
1.223,0.523598775598299,0.524759257377882,-0.00630077133901059,5.25093285468868e-05,0.524759257377882,0.524759257377882,-0.00116048177958328,-0.000440021407974668,-0.000440021407974668,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1224,0,0,0,0,0,0,4.51185090999395e-06,4.25445233092226e-07,4.51185090999395e-06,0,0,1,0
1.224,0.523598775598299,0.524752972717417,-0.00626856410081356,5.23941821513107e-05,0.524752972717417,0.524752972717417,-0.00115419711911802,-0.000437601525751354,-0.000437601525751354,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1225,0,0,0,0,0,0,4.56804537596334e-06,4.60623724848116e-07,4.56804537596334e-06,0,0,1,0
1.225,0.523598775598299,0.524746720222225,-0.00623644119950349,5.22743039217225e-05,0.524746720222225,0.524746720222225,-0.00114794462392631,-0.000435193959207777,-0.000435193959207777,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1226,0,0,0,0,0,0,4.62224291408742e-06,4.96065298912548e-07,4.62224291408742e-06,0,0,1,0
1.226,0.523598775598299,0.524740499806742,-0.00620440508543761,5.21497623352833e-05,0.524740499806742,0.524740499806742,-0.00114172420844305,-0.000432798801727999,-0.000432798801727999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1227,0,0,0,0,0,0,4.67453668406836e-06,5.31613121195536e-07,4.67453668406836e-06,0,0,1,0
1.227,0.523598775598299,0.524734311382971,-0.00617245816905821,5.20206318316366e-05,0.524734311382971,0.524734311382971,-0.00113553578467218,-0.000430416137648903,-0.000430416137648903,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1228,0,0,0,0,0,0,4.72501652659663e-06,5.67119698124171e-07,4.72501652659663e-06,0,0,1,0
1.228,0.523598775598299,0.524728154860527,-0.0061406028178671,5.18869923575815e-05,0.524728154860527,0.524728154860527,-0.00112937926222867,-0.00042804604252826,-0.00042804604252826,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1229,0,0,0,0,0,0,4.77376900875903e-06,6.02446608960906e-07,4.77376900875903e-06,0,0,1,0
1.229,0.523598775598299,0.524722030146681,-0.00610884135364091,5.1748928926596e-05,0.524722030146681,0.524722030146681,-0.00112325454838258,-0.000425688583411319,-0.000425688583411319,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1230,0,0,0,0,0,0,4.82087747222248e-06,6.37464237735873e-07,4.82087747222248e-06,0,0,1,0
1.23,0.523598775598299,0.524715937146405,-0.00607717604987887,5.1606531194021e-05,0.524715937146405,0.524715937146405,-0.00111716154810593,-0.000423343819097925,-0.000423343819097925,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1231,0,0,0,0,0,0,4.86642208463728e-06,6.72051503436671e-07,4.86642208463728e-06,0,0,1,0
