Record,Fixture,Variant,Arm,Kind,Elapsed_s,Status,Error
V2DEV01_V10_SW_ONLY_clean,V2DEV01,V10,SW_ONLY,clean,4.813204,passed,
V2DEV01_V10_SW_ONLY_exposed,V2DEV01,V10,SW_ONLY,exposed,6.6689633,passed,
V2DEV01_V10_COMBINED_clean,V2DEV01,V10,COMBINED,clean,4.658207,passed,
V2DEV01_V10_COMBINED_exposed,V2DEV01,V10,COMBINED,exposed,7.4489371,passed,
V2DEV02_V10_BASELINE_clean,V2DEV02,V10,BASELINE,clean,4.2039279,passed,
V2DEV02_V10_BASELINE_exposed,V2DEV02,V10,BASELINE,exposed,6.02891,passed,
V2DEV02_V10_EM_ONLY_clean,V2DEV02,V10,EM_ONLY,clean,4.3558216,passed,
V2DEV02_V10_EM_ONLY_exposed,V2DEV02,V10,EM_ONLY,exposed,6.3421995,passed,
V2DEV02_V10_SW_ONLY_clean,V2DEV02,V10,SW_ONLY,clean,4.9960484,passed,
V2DEV02_V10_SW_ONLY_exposed,V2DEV02,V10,SW_ONLY,exposed,9.0002361,passed,
V2DEV02_V10_COMBINED_clean,V2DEV02,V10,COMBINED,clean,6.6961163,passed,
V2DEV02_V10_COMBINED_exposed,V2DEV02,V10,COMBINED,exposed,9.1858529,passed,
V2DEV01_V11_BASELINE_clean,V2DEV01,V11,BASELINE,clean,7.0260375,passed,
V2DEV01_V11_BASELINE_exposed,V2DEV01,V11,BASELINE,exposed,8.8252239,passed,
V2DEV01_V11_EM_ONLY_clean,V2DEV01,V11,EM_ONLY,clean,5.9867119,passed,
V2DEV01_V11_EM_ONLY_exposed,V2DEV01,V11,EM_ONLY,exposed,6.8058007,passed,
V2DEV01_V11_SW_ONLY_clean,V2DEV01,V11,SW_ONLY,clean,4.8293552,passed,
V2DEV01_V11_SW_ONLY_exposed,V2DEV01,V11,SW_ONLY,exposed,6.7375401,passed,
V2DEV01_V11_COMBINED_clean,V2DEV01,V11,COMBINED,clean,4.6494016,passed,
V2DEV01_V11_COMBINED_exposed,V2DEV01,V11,COMBINED,exposed,7.3451424,passed,
V2DEV02_V11_BASELINE_clean,V2DEV02,V11,BASELINE,clean,4.2479729,passed,
V2DEV02_V11_BASELINE_exposed,V2DEV02,V11,BASELINE,exposed,6.0144952,passed,
V2DEV02_V11_EM_ONLY_clean,V2DEV02,V11,EM_ONLY,clean,4.1698676,passed,
V2DEV02_V11_EM_ONLY_exposed,V2DEV02,V11,EM_ONLY,exposed,6.2610981,passed,
V2DEV02_V11_SW_ONLY_clean,V2DEV02,V11,SW_ONLY,clean,5.0533148,passed,
V2DEV02_V11_SW_ONLY_exposed,V2DEV02,V11,SW_ONLY,exposed,8.7539509,passed,
V2DEV02_V11_COMBINED_clean,V2DEV02,V11,COMBINED,clean,6.4402776,passed,
V2DEV02_V11_COMBINED_exposed,V2DEV02,V11,COMBINED,exposed,9.1800837,passed,
V2DEV01_V12_BASELINE_clean,V2DEV01,V12,BASELINE,clean,6.8677137,passed,
V2DEV01_V12_BASELINE_exposed,V2DEV01,V12,BASELINE,exposed,8.8115707,passed,
V2DEV01_V12_EM_ONLY_clean,V2DEV01,V12,EM_ONLY,clean,5.8011022,passed,
V2DEV01_V12_EM_ONLY_exposed,V2DEV01,V12,EM_ONLY,exposed,6.8660077,passed,
V2DEV01_V12_SW_ONLY_clean,V2DEV01,V12,SW_ONLY,clean,4.8474266,passed,
V2DEV01_V12_SW_ONLY_exposed,V2DEV01,V12,SW_ONLY,exposed,6.814833,passed,
V2DEV01_V12_COMBINED_clean,V2DEV01,V12,COMBINED,clean,4.6750933,passed,
