Record,Fixture,Variant,Arm,Kind,Elapsed_s,Status,Error
V2EVAL08_V02_EM_ONLY_exposed,V2EVAL08,V02,EM_ONLY,exposed,9.9265283,passed,
V2EVAL08_V02_SW_ONLY_clean,V2EVAL08,V02,SW_ONLY,clean,9.11031,passed,
V2EVAL08_V02_SW_ONLY_exposed,V2EVAL08,V02,SW_ONLY,exposed,12.8195618,passed,
V2EVAL08_V02_COMBINED_clean,V2EVAL08,V02,COMBINED,clean,10.2427931,passed,
V2EVAL08_V02_COMBINED_exposed,V2EVAL08,V02,COMBINED,exposed,13.2795986,passed,
V2EVAL09_V02_BASELINE_clean,V2EVAL09,V02,BASELINE,clean,7.6665984,passed,
V2EVAL09_V02_BASELINE_exposed,V2EVAL09,V02,BASELINE,exposed,11.3158746,passed,
V2EVAL09_V02_EM_ONLY_clean,V2EVAL09,V02,EM_ONLY,clean,7.193096,passed,
V2EVAL09_V02_EM_ONLY_exposed,V2EVAL09,V02,EM_ONLY,exposed,10.1750392,passed,
V2EVAL09_V02_SW_ONLY_clean,V2EVAL09,V02,SW_ONLY,clean,8.8941586,passed,
V2EVAL09_V02_SW_ONLY_exposed,V2EVAL09,V02,SW_ONLY,exposed,12.5546218,passed,
V2EVAL09_V02_COMBINED_clean,V2EVAL09,V02,COMBINED,clean,9.154782,passed,
V2EVAL09_V02_COMBINED_exposed,V2EVAL09,V02,COMBINED,exposed,16.8994575,passed,
V2EVAL10_V02_BASELINE_clean,V2EVAL10,V02,BASELINE,clean,10.321966,passed,
V2EVAL10_V02_BASELINE_exposed,V2EVAL10,V02,BASELINE,exposed,15.4151242,passed,
V2EVAL10_V02_EM_ONLY_clean,V2EVAL10,V02,EM_ONLY,clean,10.3021846,passed,
V2EVAL10_V02_EM_ONLY_exposed,V2EVAL10,V02,EM_ONLY,exposed,14.5164373,passed,
V2EVAL10_V02_SW_ONLY_clean,V2EVAL10,V02,SW_ONLY,clean,9.1614127,passed,
V2EVAL10_V02_SW_ONLY_exposed,V2EVAL10,V02,SW_ONLY,exposed,12.5685137,passed,
V2EVAL10_V02_COMBINED_clean,V2EVAL10,V02,COMBINED,clean,9.6177201,passed,
V2EVAL10_V02_COMBINED_exposed,V2EVAL10,V02,COMBINED,exposed,12.8436344,passed,
V2EVAL11_V02_BASELINE_clean,V2EVAL11,V02,BASELINE,clean,7.8111995,passed,
V2EVAL11_V02_BASELINE_exposed,V2EVAL11,V02,BASELINE,exposed,11.4711755,passed,
V2EVAL11_V02_EM_ONLY_clean,V2EVAL11,V02,EM_ONLY,clean,7.3982316,passed,
V2EVAL11_V02_EM_ONLY_exposed,V2EVAL11,V02,EM_ONLY,exposed,11.3620886,passed,
V2EVAL11_V02_SW_ONLY_clean,V2EVAL11,V02,SW_ONLY,clean,9.2633731,passed,
V2EVAL11_V02_SW_ONLY_exposed,V2EVAL11,V02,SW_ONLY,exposed,11.6515921,passed,
V2EVAL11_V02_COMBINED_clean,V2EVAL11,V02,COMBINED,clean,8.1592655,passed,
V2EVAL11_V02_COMBINED_exposed,V2EVAL11,V02,COMBINED,exposed,11.5442901,passed,
V2EVAL12_V02_BASELINE_clean,V2EVAL12,V02,BASELINE,clean,7.0229909,passed,
V2EVAL12_V02_BASELINE_exposed,V2EVAL12,V02,BASELINE,exposed,11.3940043,passed,
V2EVAL12_V02_EM_ONLY_clean,V2EVAL12,V02,EM_ONLY,clean,7.2317371,passed,
V2EVAL12_V02_EM_ONLY_exposed,V2EVAL12,V02,EM_ONLY,exposed,10.8066122,passed,
V2EVAL12_V02_SW_ONLY_clean,V2EVAL12,V02,SW_ONLY,clean,9.1812301,passed,
V2EVAL12_V02_SW_ONLY_exposed,V2EVAL12,V02,SW_ONLY,exposed,12.9926363,passed,
V2EVAL12_V02_COMBINED_clean,V2EVAL12,V02,COMBINED,clean,9.3461223,passed,
V2EVAL12_V02_COMBINED_exposed,V2EVAL12,V02,COMBINED,exposed,10.9635514,passed,
V2EVAL01_V03_BASELINE_clean,V2EVAL01,V03,BASELINE,clean,14.184705,passed,
V2EVAL01_V03_BASELINE_exposed,V2EVAL01,V03,BASELINE,exposed,17.2712622,passed,
V2EVAL01_V03_EM_ONLY_clean,V2EVAL01,V03,EM_ONLY,clean,12.7683305,passed,
V2EVAL01_V03_EM_ONLY_exposed,V2EVAL01,V03,EM_ONLY,exposed,15.031608,passed,
V2EVAL01_V03_SW_ONLY_clean,V2EVAL01,V03,SW_ONLY,clean,14.2895627,passed,
V2EVAL01_V03_SW_ONLY_exposed,V2EVAL01,V03,SW_ONLY,exposed,16.336013,passed,
V2EVAL01_V03_COMBINED_clean,V2EVAL01,V03,COMBINED,clean,11.715306,passed,
V2EVAL01_V03_COMBINED_exposed,V2EVAL01,V03,COMBINED,exposed,15.3331658,passed,
V2EVAL02_V03_BASELINE_clean,V2EVAL02,V03,BASELINE,clean,8.6768882,passed,
V2EVAL02_V03_BASELINE_exposed,V2EVAL02,V03,BASELINE,exposed,13.9649473,passed,
V2EVAL02_V03_EM_ONLY_clean,V2EVAL02,V03,EM_ONLY,clean,9.7266946,passed,
V2EVAL02_V03_EM_ONLY_exposed,V2EVAL02,V03,EM_ONLY,exposed,13.2191727,passed,
V2EVAL02_V03_SW_ONLY_clean,V2EVAL02,V03,SW_ONLY,clean,10.253649,passed,
V2EVAL02_V03_SW_ONLY_exposed,V2EVAL02,V03,SW_ONLY,exposed,14.2122321,passed,
V2EVAL02_V03_COMBINED_clean,V2EVAL02,V03,COMBINED,clean,10.3834645,passed,
V2EVAL02_V03_COMBINED_exposed,V2EVAL02,V03,COMBINED,exposed,13.8001132,passed,
V2EVAL03_V03_BASELINE_clean,V2EVAL03,V03,BASELINE,clean,8.0188939,passed,
V2EVAL03_V03_BASELINE_exposed,V2EVAL03,V03,BASELINE,exposed,11.545786,passed,
V2EVAL03_V03_EM_ONLY_clean,V2EVAL03,V03,EM_ONLY,clean,7.6922315,passed,
V2EVAL03_V03_EM_ONLY_exposed,V2EVAL03,V03,EM_ONLY,exposed,12.7593777,passed,
V2EVAL03_V03_SW_ONLY_clean,V2EVAL03,V03,SW_ONLY,clean,9.7915517,passed,
V2EVAL03_V03_SW_ONLY_exposed,V2EVAL03,V03,SW_ONLY,exposed,13.8723969,passed,
V2EVAL03_V03_COMBINED_clean,V2EVAL03,V03,COMBINED,clean,9.3307839,passed,
V2EVAL03_V03_COMBINED_exposed,V2EVAL03,V03,COMBINED,exposed,12.2499613,passed,
V2EVAL04_V03_BASELINE_clean,V2EVAL04,V03,BASELINE,clean,8.2149519,passed,
V2EVAL04_V03_BASELINE_exposed,V2EVAL04,V03,BASELINE,exposed,11.3695571,passed,
V2EVAL04_V03_EM_ONLY_clean,V2EVAL04,V03,EM_ONLY,clean,7.4149673,passed,
V2EVAL04_V03_EM_ONLY_exposed,V2EVAL04,V03,EM_ONLY,exposed,11.2319852,passed,
V2EVAL04_V03_SW_ONLY_clean,V2EVAL04,V03,SW_ONLY,clean,10.6887636,passed,
V2EVAL04_V03_SW_ONLY_exposed,V2EVAL04,V03,SW_ONLY,exposed,12.0271979,passed,
V2EVAL04_V03_COMBINED_clean,V2EVAL04,V03,COMBINED,clean,10.3540911,passed,
V2EVAL04_V03_COMBINED_exposed,V2EVAL04,V03,COMBINED,exposed,12.995481,passed,
V2EVAL05_V03_BASELINE_clean,V2EVAL05,V03,BASELINE,clean,7.3133972,passed,
V2EVAL05_V03_BASELINE_exposed,V2EVAL05,V03,BASELINE,exposed,10.5039059,passed,
V2EVAL05_V03_EM_ONLY_clean,V2EVAL05,V03,EM_ONLY,clean,7.5325746,passed,
V2EVAL05_V03_EM_ONLY_exposed,V2EVAL05,V03,EM_ONLY,exposed,10.2916463,passed,
V2EVAL05_V03_SW_ONLY_clean,V2EVAL05,V03,SW_ONLY,clean,10.9709667,passed,
V2EVAL05_V03_SW_ONLY_exposed,V2EVAL05,V03,SW_ONLY,exposed,12.0086828,passed,
V2EVAL05_V03_COMBINED_clean,V2EVAL05,V03,COMBINED,clean,10.5915171,passed,
V2EVAL05_V03_COMBINED_exposed,V2EVAL05,V03,COMBINED,exposed,12.6799734,passed,
V2EVAL06_V03_BASELINE_clean,V2EVAL06,V03,BASELINE,clean,7.6974397,passed,
V2EVAL06_V03_BASELINE_exposed,V2EVAL06,V03,BASELINE,exposed,11.5515344,passed,
V2EVAL06_V03_EM_ONLY_clean,V2EVAL06,V03,EM_ONLY,clean,8.2496949,passed,
V2EVAL06_V03_EM_ONLY_exposed,V2EVAL06,V03,EM_ONLY,exposed,11.6848417,passed,
V2EVAL06_V03_SW_ONLY_clean,V2EVAL06,V03,SW_ONLY,clean,9.9571729,passed,
V2EVAL06_V03_SW_ONLY_exposed,V2EVAL06,V03,SW_ONLY,exposed,13.0182068,passed,
V2EVAL06_V03_COMBINED_clean,V2EVAL06,V03,COMBINED,clean,9.7850103,passed,
V2EVAL06_V03_COMBINED_exposed,V2EVAL06,V03,COMBINED,exposed,13.7179205,passed,
V2EVAL07_V03_BASELINE_clean,V2EVAL07,V03,BASELINE,clean,8.0358372,passed,
V2EVAL07_V03_BASELINE_exposed,V2EVAL07,V03,BASELINE,exposed,10.285057,passed,
V2EVAL07_V03_EM_ONLY_clean,V2EVAL07,V03,EM_ONLY,clean,7.3617402,passed,
V2EVAL07_V03_EM_ONLY_exposed,V2EVAL07,V03,EM_ONLY,exposed,9.9669056,passed,
V2EVAL07_V03_SW_ONLY_clean,V2EVAL07,V03,SW_ONLY,clean,8.9927297,passed,
V2EVAL07_V03_SW_ONLY_exposed,V2EVAL07,V03,SW_ONLY,exposed,11.9631598,passed,
V2EVAL07_V03_COMBINED_clean,V2EVAL07,V03,COMBINED,clean,9.3755774,passed,
V2EVAL07_V03_COMBINED_exposed,V2EVAL07,V03,COMBINED,exposed,12.7056816,passed,
V2EVAL08_V03_BASELINE_clean,V2EVAL08,V03,BASELINE,clean,7.0770503,passed,
V2EVAL08_V03_BASELINE_exposed,V2EVAL08,V03,BASELINE,exposed,11.1306635,passed,
V2EVAL08_V03_EM_ONLY_clean,V2EVAL08,V03,EM_ONLY,clean,7.5557486,passed,
V2EVAL08_V03_EM_ONLY_exposed,V2EVAL08,V03,EM_ONLY,exposed,9.8737069,passed,
V2EVAL08_V03_SW_ONLY_clean,V2EVAL08,V03,SW_ONLY,clean,9.0435956,passed,
V2EVAL08_V03_SW_ONLY_exposed,V2EVAL08,V03,SW_ONLY,exposed,12.8489168,passed,
V2EVAL08_V03_COMBINED_clean,V2EVAL08,V03,COMBINED,clean,9.4029713,passed,
V2EVAL08_V03_COMBINED_exposed,V2EVAL08,V03,COMBINED,exposed,13.6650264,passed,
V2EVAL09_V03_BASELINE_clean,V2EVAL09,V03,BASELINE,clean,7.6436742,passed,
V2EVAL09_V03_BASELINE_exposed,V2EVAL09,V03,BASELINE,exposed,11.2820114,passed,
V2EVAL09_V03_EM_ONLY_clean,V2EVAL09,V03,EM_ONLY,clean,7.4757186,passed,
V2EVAL09_V03_EM_ONLY_exposed,V2EVAL09,V03,EM_ONLY,exposed,10.7070804,passed,
V2EVAL09_V03_SW_ONLY_clean,V2EVAL09,V03,SW_ONLY,clean,9.0976197,passed,
