Case,Variant,CoarseStep_ns,FineStep_ns,VoltageError_V,DifferentialError_V,ThresholdSequenceExact,ThresholdTimeError_ns,ComparatorSequenceExact,ComparatorTimeError_ns,OutputSequenceExact,OutputTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,Pass
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_40ns_inertial,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_25ns_transport,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.99985188599583e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_25ns_inertial,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.99985188599583e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_40ns_transport,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.99985188599583e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_40ns_inertial,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.99985188599583e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_25ns_transport,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_25ns_inertial,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_40ns_transport,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_40ns_inertial,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,2.63486538902395e-08,1,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_25ns_transport,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,1.70753371836994e-08,1,1.52698864566269e-08,1,1.52698864566269e-08,1,1.52698864566269e-08,1,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_25ns_inertial,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,1.70753371836994e-08,1,1.52698864566269e-08,1,1.52698864566269e-08,1,1.52698864566269e-08,1,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_40ns_transport,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,1.70753371836994e-08,1,1.52698864566269e-08,1,1.52698864566269e-08,1,1.52698864566269e-08,1,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_40ns_inertial,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,1.70753371836994e-08,1,1.52698864566269e-08,1,1.52698864566269e-08,1,1.52698864566269e-08,1,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_25ns_transport,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.63778765269198e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_25ns_inertial,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.63778765269198e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_40ns_transport,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.63778765269198e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_40ns_inertial,0.25,0.125,1.51294763739429e-06,9.93978734875611e-08,1,2.63778765269198e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,2.39066579033054e-08,1,1
Cd100_Ccp240_Ccn7_A1,typical_illustration_25ns_transport,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,2.47257387633003e-08,1,3.10352871873976e-09,1,3.10352871873976e-09,1,3.10352871873976e-09,1,1
Cd100_Ccp240_Ccn7_A1,typical_illustration_25ns_inertial,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,2.47257387633003e-08,1,3.10352871873976e-09,1,3.10352871873976e-09,1,3.10352871873976e-09,1,1
Cd100_Ccp240_Ccn7_A1,typical_illustration_40ns_transport,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,2.47257387633003e-08,1,3.10352871873976e-09,1,3.10352871873976e-09,1,3.10352871873976e-09,1,1
Cd100_Ccp240_Ccn7_A1,typical_illustration_40ns_inertial,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,2.47257387633003e-08,1,3.10352871873976e-09,1,3.10352871873976e-09,1,3.10352871873976e-09,1,1
Cd100_Ccp240_Ccn7_A1,lower_illustration_25ns_transport,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1
Cd100_Ccp240_Ccn7_A1,lower_illustration_25ns_inertial,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1
Cd100_Ccp240_Ccn7_A1,lower_illustration_40ns_transport,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1
Cd100_Ccp240_Ccn7_A1,lower_illustration_40ns_inertial,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1.96765753647174e-09,1,1
Cd100_Ccp240_Ccn7_A1,upper_illustration_25ns_transport,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,1.07437659029735e-08,1,4.8839919738683e-09,1,4.8839919738683e-09,1,4.8839919738683e-09,1,1
Cd100_Ccp240_Ccn7_A1,upper_illustration_25ns_inertial,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,1.07437659029735e-08,1,4.8839919738683e-09,1,4.8839919738683e-09,1,4.8839919738683e-09,1,1
Cd100_Ccp240_Ccn7_A1,upper_illustration_40ns_transport,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,1.07437659029735e-08,1,4.8839919738683e-09,1,4.8839919738683e-09,1,4.8839919738683e-09,1,1
Cd100_Ccp240_Ccn7_A1,upper_illustration_40ns_inertial,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,1.07437659029735e-08,1,4.8839919738683e-09,1,4.8839919738683e-09,1,4.8839919738683e-09,1,1
Cd100_Ccp240_Ccn7_A1,narrow_hysteresis_assumption_25ns_transport,0.5,0.25,7.70542282424458e-07,8.38583416040706e-08,1,1.87490742874739e-08,1,3.10352871873976e-09,1,3.10352871873976e-09,1,3.10352871873976e-09,1,1
