Case,Variant,MaxStep_ns,ThresholdSequenceExact,ThresholdTimeError_ns,ComparatorSequenceExact,ComparatorTimeError_ns,OutputSequenceExact,OutputTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,NativeDomainPass,ReferenceContinuousDomainPass,DomainAgreement,NativeStressFlag,GrazingUnresolved,Pass
Cd100_Ccp40_Ccn7_A1,lower_illustration_25ns_inertial,0.25,1,4.75074945610046e-07,1,4.75074945610046e-07,1,4.75074945610046e-07,1,4.75074945610046e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_40ns_transport,0.25,1,4.75074945610046e-07,1,4.75074945610046e-07,1,4.75074945610046e-07,1,4.75074945610046e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_40ns_inertial,0.25,1,4.75074945610046e-07,1,4.75074945610046e-07,1,4.75074945610046e-07,1,4.75074945610046e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_25ns_transport,0.25,1,2.52307821581007e-07,1,7.48959237456461e-08,1,7.48959237456461e-08,1,7.48959237456461e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_25ns_inertial,0.25,1,2.52307821581007e-07,1,7.48959237456461e-08,1,7.48959237456461e-08,1,7.48959237456461e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_40ns_transport,0.25,1,2.52307821581007e-07,1,7.48959237456461e-08,1,7.48959237456461e-08,1,7.48959237456461e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_40ns_inertial,0.25,1,2.52307821581007e-07,1,7.48959237456461e-08,1,7.48959237456461e-08,1,7.48959237456461e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_25ns_transport,0.25,1,1.0128947038209e-07,1,5.13098678128765e-08,1,5.13098678128765e-08,1,5.13098678128765e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_25ns_inertial,0.25,1,1.0128947038209e-07,1,5.13098678128765e-08,1,5.13098678128765e-08,1,5.13098678128765e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_40ns_transport,0.25,1,1.0128947038209e-07,1,5.13098678128765e-08,1,5.13098678128765e-08,1,5.13098678128765e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_40ns_inertial,0.25,1,1.0128947038209e-07,1,5.13098678128765e-08,1,5.13098678128765e-08,1,5.13098678128765e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_25ns_transport,0.125,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1,1,1,0,0,1
