Record,Fixture,Variant,Arm,Closure_s,Elapsed_s,Status,Error
V2CLOS40_V13_EM_ONLY_return45000ns,V2CLOS40,V13,EM_ONLY,4.5e-05,11.8214311,passed,
V2CLOS40_V13_SW_ONLY_return100ns,V2CLOS40,V13,SW_ONLY,1e-07,13.7577189,passed,
V2CLOS40_V13_SW_ONLY_return45000ns,V2CLOS40,V13,SW_ONLY,4.5e-05,13.6269268,passed,
V2CLOS40_V13_COMBINED_return100ns,V2CLOS40,V13,COMBINED,1e-07,12.9642124,passed,
V2CLOS40_V13_COMBINED_return45000ns,V2CLOS40,V13,COMBINED,4.5e-05,13.9137328,passed,
V2CLOS240_V13_BASELINE_return100ns,V2CLOS240,V13,BASELINE,1e-07,11.2475797,passed,
V2CLOS240_V13_BASELINE_return45000ns,V2CLOS240,V13,BASELINE,4.5e-05,12.1401631,passed,
V2CLOS240_V13_EM_ONLY_return100ns,V2CLOS240,V13,EM_ONLY,1e-07,12.9719119,passed,
V2CLOS240_V13_EM_ONLY_return45000ns,V2CLOS240,V13,EM_ONLY,4.5e-05,10.3362717,passed,
V2CLOS240_V13_SW_ONLY_return100ns,V2CLOS240,V13,SW_ONLY,1e-07,10.9393171,passed,
V2CLOS240_V13_SW_ONLY_return45000ns,V2CLOS240,V13,SW_ONLY,4.5e-05,10.2906177,passed,
V2CLOS240_V13_COMBINED_return100ns,V2CLOS240,V13,COMBINED,1e-07,10.3112132,passed,
V2CLOS240_V13_COMBINED_return45000ns,V2CLOS240,V13,COMBINED,4.5e-05,9.400466,passed,
V2CLOS40_V14_BASELINE_return100ns,V2CLOS40,V14,BASELINE,1e-07,12.4755281,passed,
V2CLOS40_V14_BASELINE_return45000ns,V2CLOS40,V14,BASELINE,4.5e-05,12.7305539,passed,
V2CLOS40_V14_EM_ONLY_return100ns,V2CLOS40,V14,EM_ONLY,1e-07,12.0396423,passed,
V2CLOS40_V14_EM_ONLY_return45000ns,V2CLOS40,V14,EM_ONLY,4.5e-05,12.3083149,passed,
V2CLOS40_V14_SW_ONLY_return100ns,V2CLOS40,V14,SW_ONLY,1e-07,14.3957269,passed,
V2CLOS40_V14_SW_ONLY_return45000ns,V2CLOS40,V14,SW_ONLY,4.5e-05,13.7543531,passed,
V2CLOS40_V14_COMBINED_return100ns,V2CLOS40,V14,COMBINED,1e-07,13.5827698,passed,
V2CLOS40_V14_COMBINED_return45000ns,V2CLOS40,V14,COMBINED,4.5e-05,13.2374904,passed,
V2CLOS240_V14_BASELINE_return100ns,V2CLOS240,V14,BASELINE,1e-07,11.2015105,passed,
V2CLOS240_V14_BASELINE_return45000ns,V2CLOS240,V14,BASELINE,4.5e-05,12.4339667,passed,
V2CLOS240_V14_EM_ONLY_return100ns,V2CLOS240,V14,EM_ONLY,1e-07,12.5363363,passed,
V2CLOS240_V14_EM_ONLY_return45000ns,V2CLOS240,V14,EM_ONLY,4.5e-05,9.8938966,passed,
V2CLOS240_V14_SW_ONLY_return100ns,V2CLOS240,V14,SW_ONLY,1e-07,10.4924545,passed,
V2CLOS240_V14_SW_ONLY_return45000ns,V2CLOS240,V14,SW_ONLY,4.5e-05,10.1104269,passed,
V2CLOS240_V14_COMBINED_return100ns,V2CLOS240,V14,COMBINED,1e-07,10.7419462,passed,
V2CLOS240_V14_COMBINED_return45000ns,V2CLOS240,V14,COMBINED,4.5e-05,9.6947966,passed,
V2CLOS40_V15_BASELINE_return100ns,V2CLOS40,V15,BASELINE,1e-07,10.2422933,passed,
V2CLOS40_V15_BASELINE_return45000ns,V2CLOS40,V15,BASELINE,4.5e-05,13.2535638,passed,
V2CLOS40_V15_EM_ONLY_return100ns,V2CLOS40,V15,EM_ONLY,1e-07,11.5142167,passed,
V2CLOS40_V15_EM_ONLY_return45000ns,V2CLOS40,V15,EM_ONLY,4.5e-05,12.1514208,passed,
V2CLOS40_V15_SW_ONLY_return100ns,V2CLOS40,V15,SW_ONLY,1e-07,13.8983662,passed,
V2CLOS40_V15_SW_ONLY_return45000ns,V2CLOS40,V15,SW_ONLY,4.5e-05,13.2826803,passed,
V2CLOS40_V15_COMBINED_return100ns,V2CLOS40,V15,COMBINED,1e-07,13.1878738,passed,
V2CLOS40_V15_COMBINED_return45000ns,V2CLOS40,V15,COMBINED,4.5e-05,14.064092,passed,
V2CLOS240_V15_BASELINE_return100ns,V2CLOS240,V15,BASELINE,1e-07,11.3621073,passed,
V2CLOS240_V15_BASELINE_return45000ns,V2CLOS240,V15,BASELINE,4.5e-05,12.0918441,passed,
V2CLOS240_V15_EM_ONLY_return100ns,V2CLOS240,V15,EM_ONLY,1e-07,12.9957931,passed,
V2CLOS240_V15_EM_ONLY_return45000ns,V2CLOS240,V15,EM_ONLY,4.5e-05,10.5196075,passed,
V2CLOS240_V15_SW_ONLY_return100ns,V2CLOS240,V15,SW_ONLY,1e-07,10.4264252,passed,
V2CLOS240_V15_SW_ONLY_return45000ns,V2CLOS240,V15,SW_ONLY,4.5e-05,10.3612776,passed,
V2CLOS240_V15_COMBINED_return100ns,V2CLOS240,V15,COMBINED,1e-07,10.265349,passed,
V2CLOS240_V15_COMBINED_return45000ns,V2CLOS240,V15,COMBINED,4.5e-05,9.9789397,passed,
V2CLOS40_V16_BASELINE_return100ns,V2CLOS40,V16,BASELINE,1e-07,11.9500558,passed,
